,1540_T_純金上場信託ETF_日足,7974_T_任天堂_日足,AAPL_アップル_日足
2025-01-01,1.0,1.0,1.0
2025-01-02,1.0,1.0,0.9737640996548259
2025-01-03,1.0,1.0,0.9718073480432973
2025-01-04,1.0,1.0,0.9718073480432973
2025-01-05,1.0,1.0,0.9718073480432973
2025-01-06,1.005202080832333,0.9790586272600101,0.9783563213167432
2025-01-07,1.010404161664666,0.9885578088376022,0.9672150653016071
2025-01-08,1.0152060824329732,0.9610318751306671,0.9691716947535896
2025-01-09,1.0196078431372548,0.9843479901483358,0.9691716947535896
2025-01-10,1.0284113645458184,0.9982728567616309,0.9458110025682823
2025-01-11,1.0284113645458184,0.9982728567616309,0.9458110025682823
2025-01-12,1.0284113645458184,0.9982728567616309,0.9458110025682823
2025-01-13,1.0284113645458184,0.9982728567616309,0.9360274277499578
2025-01-14,1.0188075230092037,1.0073401994129114,0.9315549224433473
2025-01-15,1.0228091236494599,1.0324912846087295,0.9498841072384906
2025-01-16,1.0172068827531013,1.0351899326395015,0.9115086019866074
2025-01-17,1.0220088035214085,0.9910405905219376,0.9183770835532206
2025-01-18,1.0220088035214085,0.9910405905219376,0.9183770835532206
2025-01-19,1.0220088035214085,0.9910405905219376,0.9183770835532206
2025-01-20,1.0240096038415367,0.9608160087842306,0.9183770835532206
2025-01-21,1.0256102440976391,0.976252152289458,0.8890663052698651
2025-01-22,1.0364145658263306,1.0151122377521344,0.8938183116182523
2025-01-23,1.043217286914766,1.0318436855694197,0.8931395320996196
2025-01-24,1.0428171268507402,1.067573390308451,0.8896253684331915
2025-01-25,1.0428171268507402,1.067573390308451,0.8896253684331915
2025-01-26,1.0428171268507402,1.067573390308451,0.8896253684331915
2025-01-27,1.0396158463385354,1.057102703938456,0.9178978516533561
2025-01-28,1.0324129651860745,1.1064334757711274,0.95144151929339
2025-01-29,1.0372148859543817,1.0999567417439622,0.9558341933365389
2025-01-30,1.034813925570228,1.1253237995196548,0.948765980911838
2025-01-31,1.045218087234894,1.1042745998398849,0.9424167384964799
2025-02-01,1.045218087234894,1.1042745998398849,0.9424167384964799
2025-02-02,1.045218087234894,1.1042745998398849,0.9424167384964799
2025-02-03,1.0476190476190477,1.0983376379122496,0.9105103141748074
2025-02-04,1.059623849539816,1.122625151488883,0.929638178083209
2025-02-05,1.0612244897959184,1.1550086091578322,0.928320381978242
