Date,1540_T_純金上場信託ETF_四半期足,7974_T_任天堂_四半期足,AAPL_アップル_四半期足
2022-07-01,1.0,1.0,1.0
2022-10-01,1.0058503401360543,0.9550735426848699,0.9417187982764921
2023-01-01,1.0945578231292517,0.8858428723906497,1.1970025920730378
2023-04-01,1.1451700680272108,1.1569218213283274,1.409968088083432
2023-07-01,1.154829931972789,1.1017461671306341,1.2462062729108538
2023-10-01,1.215374149659864,1.318347054483548,1.403236741699888
2024-01-01,1.4503401360544217,1.4700851402969732,1.2514105837866492
2024-04-01,1.542857142857143,1.557040383290984,1.5391274422093628
2024-07-01,1.551700680272109,1.3896167171108154,1.7046426987851606
2024-10-01,1.7,1.6932957986054804,1.8341041888339435
2025-01-01,1.9401360544217687,1.847929667266492,1.6286937712948697
2025-04-01,1.9639455782312925,2.173582016645265,1.4336293526001276
