Date,1540_T_純金上場信託ETF_四半期足,1942_T_Kandenko Co,5838_T_楽天銀行_四半期足,5844_T_京都銀行_四半期足,7974_T_任天堂_四半期足,9697_T_カプコン_四半期足,AAPL_アップル_四半期足,MSFT_Microsoft_四半期足
2008-01-01,,1.0,,1.0,1.0,1.0,1.0,1.0
2008-04-01,,1.1916668814122982,,0.8535849988287946,0.9295772747943899,1.083333523897708,1.166829619400423,0.9729131062766363
2008-07-01,,0.8616720606300651,,0.7698112198372824,0.5587065778915585,0.6967887789320896,0.792056095690828,0.9476779332783182
2008-10-01,,1.1275786419605416,,0.7207547863618683,0.5006940059555036,0.5274304077959816,0.5947734242021019,0.6949293129502934
2009-01-01,,1.0594565858066196,,0.5947169682470816,0.4788257347781124,0.553798661739157,0.7325437045202384,0.6611822819515338
2009-04-01,,1.0662474385066572,,0.6475471663873363,0.46380515944489625,0.6234302086388858,0.9925436824074622,0.860975327665988
2009-07-01,,0.9572530572950779,,0.6279245213638132,0.42593591479895787,0.5078051183373584,1.2916378878097239,0.9368438643339385
2009-10-01,,0.9810991321942827,,0.5645282835955074,0.4685294138843446,0.49009094702109424,1.4685019533873733,1.115133557718352
2010-01-01,,1.0549223497174072,,0.6256603501167902,0.5946088050365602,0.629382625476766,1.6376306381360257,1.0766076989934499
2010-04-01,1.0,0.8828305877421604,,0.54415090155754,0.45640235739046114,0.439605714686048,1.7528226129672637,0.8495908879820153
2010-07-01,1.0652503793626706,0.8169130878996818,,0.5433962043394055,0.39329555260262705,0.4243935843142374,1.977351873422046,0.9090603305890476
2010-10-01,1.0728376327769347,0.9214225376260413,,0.5720754547584009,0.423534365922047,0.4710265924615921,2.247805058187007,1.0423749181306081
2011-01-01,1.2336874051593323,0.7336543693635788,,0.5645282835955074,0.3708889602174499,0.5111152734990301,2.4286417945844705,0.9538634862836729
2011-04-01,1.2321699544764795,0.6331296551701536,,0.5313207304787759,0.23665139570221397,0.6877382531095428,2.3391637721963896,0.983182940535489
2011-07-01,1.3050075872534144,0.6208458822984405,,0.5071698225538263,0.23279407894100618,0.7104226205040753,2.657282815221772,0.9471491493538705
2011-10-01,1.2731411229135052,0.7141521641369629,,0.4958490459113311,0.19807745813589397,0.5811294909873098,2.8223011771183626,0.9953048677058547
2012-01-01,1.3125948406676784,0.6406782496239964,,0.5124528224696969,0.21072512688999898,0.6368449358279665,4.178050747715888,1.24498876508623
2012-04-01,1.2306525037936267,0.6731367663538231,,0.4339622423756041,0.17009639703916252,0.5540150735727474,4.069686645375748,1.188286249729118
2012-07-01,1.323216995447648,0.6880009872837318,,0.5177358223855675,0.19886693841739664,0.535335416513782,4.668740329115505,1.1637032404693983
2012-10-01,1.4673748103186646,0.7601301969249715,,0.5713207177439568,0.17242911200684508,0.5180891500336883,3.7414361916492207,1.0530211259552515
2013-01-01,1.385432473444613,0.8288173940684623,,0.7728301678950593,0.2104136188028,0.5739241826815235,3.1302704558382977,1.1372659982259734
2013-04-01,1.2564491654021244,0.9244500041633342,,0.5916980997819242,0.24378147996415833,0.6229133980545387,2.8226233602685378,1.3826145745801668
2013-07-01,1.2716236722306524,1.1748108885419526,,0.6505660746488036,0.2163020594551274,0.6607510634011833,3.416059956581564,1.3415651985554329
2013-10-01,1.227617602427921,0.992904605720317,,0.623396218666077,0.2384818387197176,0.7274388584598005,4.0433516556111995,1.519488567408692
2014-01-01,1.2731411229135052,1.050597471999528,,0.6279245213638132,0.212568027767137,0.649808649114094,3.8915178154346073,1.6773820701588245
2014-04-01,1.274658573596358,1.0793545684737422,,0.713207575402665,0.22810484202048065,0.6907181255616885,4.742724813686039,1.7184753641867854
2014-07-01,1.267071320182094,1.1278430397614072,,0.7154715874644489,0.23572487896473307,0.6325561459817353,5.16739847056983,1.9224482500304032
2014-10-01,1.4218512898330804,1.3526365078398042,,0.7501886942026885,0.22622459836260914,0.730552714991436,5.68586346797987,1.9383298188075317
2015-01-01,1.3687405159332322,1.4754769177740712,,0.9879245261393703,0.40624070087764313,0.8342426199095145,6.4348988257562985,1.7087912583819884
2015-04-01,1.2867981790591805,1.588824925309483,,1.104150922251621,0.4360289985710265,1.0100291605071063,6.513708760363291,1.867521901545328
2015-07-01,1.3262518968133536,1.6897989668078723,,0.9290566308651105,0.39001776500023316,0.9592596927450895,5.7539199594893935,1.8845205880062357
2015-10-01,1.2852807283763277,1.441646958479416,,0.6958490618298551,0.3334571727736049,0.9937333078600736,5.514507584405849,2.3781725290842792
2016-01-01,1.3019726858877088,1.5400164954436437,,0.5645282835955074,0.3055737726729196,0.9583448798020403,5.740902610357956,2.3844542922916188
2016-04-01,1.315629742033384,1.980303183096296,,0.5275471249991742,0.43361026431543587,0.7957212615583357,5.066261265768483,2.2246225354626255
2016-07-01,1.2716236722306524,2.0610806586082187,,0.5818867971683175,0.5129526014320779,1.0375838335994652,6.023466299299744,2.519776267548476
2016-10-01,1.2974203338391501,2.088959954383559,,0.6679245484253038,0.46617384667476164,0.9141438542053643,6.202739883543064,2.7367475796946605
2017-01-01,1.3338391502276177,2.2235889312802555,,0.6656604169745907,0.5747568592297587,0.9290157751961271,7.727069078654594,2.918167268228554
2017-04-01,1.3247344461305008,2.3680822549751097,,0.7984905100525876,0.7681186094182897,1.0577022343638292,7.778407869052561,3.071701071738849
2017-07-01,1.3672230652503794,2.2607254271290613,,0.893584906501356,0.900090799163842,1.1198352983292217,8.356587091998547,3.3371541375830085
2017-10-01,1.3808801213960546,2.439150298456706,,0.9222641171240417,0.9857841808404463,1.6206607192564746,9.208855945766205,3.85144139910104
2018-01-01,1.355083459787557,2.654165740033059,,0.9932074862589312,0.9584002962537538,1.6521531106446556,9.16717690055166,4.128737810544248
2018-04-01,1.2852807283763277,2.381786849493898,,0.8166037208435322,0.7630667240498165,2.2735761566963038,10.153056455576262,4.48011012253216
2018-07-01,1.3050075872534144,2.3853178635048957,,0.7683018254010134,0.7328487302930982,1.851341493507749,12.424986773795696,5.216123378325405
2018-10-01,1.355083459787557,2.1161409420515986,,0.698113233076878,0.7051271745740659,1.8402843248189864,8.71248426537764,4.652359508680366
2019-01-01,1.347496206373293,1.96213465995985,,0.7245282724525407,0.808228297715558,1.9944391929522503,10.536538875089903,5.425250860657947
2019-04-01,1.4552352048558421,2.0020070399824585,,0.6392452980063084,0.8528935896751231,1.8248519366780223,11.020914816610453,6.184984676617879
2019-07-01,1.520485584218513,2.18537175596932,,0.6550942977539203,0.8269062172942687,2.0582611423509642,12.518859047083076,6.440440441744398
2019-10-01,1.6084977238239757,2.2130079547243713,,0.6716981141085957,0.8729405494923199,2.4936476578356364,16.462919472455496,7.330170058510506
2020-01-01,1.708649468892261,1.9523136595053836,,0.5599999808977714,0.9758230056291046,2.6616119293021416,14.290110116097603,7.350658179202389
