Date,7974_T_任天堂_四半期足,9697_T_カプコン_四半期足,9766_T_コナミ_四半期足
2001-01-01,1.0,1.0,1.0
2001-04-01,1.1161618876673844,0.9895835968849466,0.9325463020059618
2001-07-01,0.9629169367017787,0.8759065004150295,0.6486083782340736
2001-10-01,0.9842140211189857,0.8706773552893147,0.5805128862423089
2002-01-01,0.9133283358171586,1.0068364117098818,0.5566673981938358
2002-04-01,0.7585615316690212,0.8285426443845844,0.4157823136602204
2002-07-01,0.6021623714906635,0.6116264540786732,0.5047815360555334
2002-10-01,0.4803997316074979,0.3688173602782881,0.4356335267471297
2003-01-01,0.4735818054572478,0.2527064993655083,0.2762366131459531
2003-04-01,0.4957405632061356,0.2954437712516308,0.3946236044318375
2003-07-01,0.43355090448074113,0.379566564656965,0.59555173108018
2003-10-01,0.5332415960593291,0.3448176007310665,0.5182189387540366
2004-01-01,0.5469048749675212,0.31307488220531376,0.5077871626048279
2004-04-01,0.6530440547974662,0.28395165587252974,0.4333235651479591
2004-07-01,0.6251964909870492,0.2429155686520795,0.43333794108511187
2004-10-01,0.61362863477216,0.2723268978949044,0.4179263465160988
2005-01-01,0.6287125223618938,0.3016206948316897,0.4125861050326461
2005-04-01,0.6308526937309047,0.30766961432161494,0.4520109172667611
2005-07-01,0.6994517665025052,0.32272511149755984,0.44283028234340566
2005-10-01,0.867320425406098,0.3601546413102372,0.49193078337120755
2006-01-01,0.921042828315409,0.3297373179900847,0.5449448926549083
2006-04-01,1.1765225251593083,0.381433259735667,0.5215766360406421
2006-07-01,1.3187543242949968,0.6048807041236995,0.6096177317217877
2006-10-01,1.9495350418467317,0.6429500669725646,0.6001811554378488
2007-01-01,2.116868209923554,0.5196500802977342,0.6034499268410731
2007-04-01,3.2817060046849225,0.6840495002874002,0.5149310097844554
2007-07-01,4.025111821913212,0.9384994697107278,0.6509996275297147
2007-10-01,2.9472594796012737,0.7382098487433956,0.614512753847069
2008-01-01,3.2563158350580736,0.8967948750385841,0.7194297093676091
2008-04-01,3.0269987327015757,0.9715281795475703,0.6614110351804954
2008-07-01,1.8193260520916397,0.6248767046986873,0.3353160638274222
2008-10-01,1.6304181487487792,0.4729970405379396,0.35757926730288414
2009-01-01,1.5592081226561698,0.4966439688989419,0.2886670482034177
2009-04-01,1.510296277049554,0.5590893024376816,0.4003194252506536
2009-07-01,1.3869818685732889,0.4553972746561086,0.3370236953945707
2009-10-01,1.5256806626985193,0.43951127363694864,0.3011443059676347
2010-01-01,1.9362342819654375,0.564427288522906,0.37601993082410823
2010-04-01,1.4861908274672249,0.394236292551755,0.272501881291646
2010-07-01,1.2806947543004026,0.3805941582531622,0.293213135594957
2010-10-01,1.379162149489447,0.4224144813669713,0.33932480787475955
2011-01-01,1.2077320136704965,0.4583656857580176,0.33365391983679366
2011-04-01,0.7706122156418275,0.6167602989410895,0.42312997002228986
2011-07-01,0.7580512773034119,0.6371033911338334,0.5475658464495906
2011-10-01,0.6450029815858452,0.5211542689176646,0.42461705670478184
2012-01-01,0.6861877413516589,0.5711195784973371,0.49752882918766084
2012-04-01,0.5538876096442107,0.49683808344704716,0.35963896960734376
2012-07-01,0.6475737656284377,0.4800862743819212,0.3959857167146755
2012-10-01,0.5614837346776851,0.4646198943844438,0.41893517712955447
2013-01-01,0.6851733550755152,0.5146924987541623,0.48731955404414673
2013-04-01,0.7938297101341066,0.5586257327203381,0.47635378790108707
2013-07-01,0.7043478888480725,0.592558295742674,0.5229407044445181
2013-10-01,0.7765723012168254,0.6523637557636982,0.5439290137958075
2014-01-01,0.6921888423980511,0.5827451329865041,0.5185910985439132
2014-04-01,0.7427819738994265,0.6194327825783998,0.537509521341529
2014-07-01,0.7675948905872481,0.5672732711154742,0.4919447867138768
2014-10-01,0.736659021064232,0.6551559972540031,0.4935086899590381
2015-01-01,1.322848305473674,0.7481447372046045,0.49625461815337457
2015-04-01,1.4198484020392255,0.9057893644906161,0.5813974876450774
2015-07-01,1.270021373839098,0.8602594528584177,0.6220996469170477
2015-10-01,1.0858420964082593,0.8911747833066925,0.6239041220003505
2016-01-01,0.9950448930262747,0.8594392333848162,0.7779117668939617
2016-04-01,1.4119723364582741,0.713598954002302,0.9036004922718315
2016-07-01,1.670336157626837,0.9304999637352982,0.9429320627364656
2016-10-01,1.518009674474539,0.8197998525797698,1.028239805287091
2017-01-01,1.8715897178593508,0.8331366418361221,1.0633158499581887
2017-04-01,2.5012373332377633,0.9485423557662845,1.3191084211445383
2017-07-01,2.930980717750839,1.004263117186339,1.2688310183417086
2017-10-01,3.2100256944008905,1.4534006076352286,1.4395463587645214
2018-01-01,3.120854873922224,1.4816430327636123,1.2500764750177262
2018-04-01,2.484786943541009,2.0389319848486642,1.2198703644433582
2018-07-01,2.386387442894418,1.660273958739203,1.007257395348456
2018-10-01,2.296117367961541,1.6503580459941376,1.1708493502386903
2019-01-01,2.631847318912214,1.7886034004108504,1.192389782515358
2019-04-01,2.7772913661437193,1.6365187985157525,1.0934166404919041
2019-07-01,2.692668285384057,1.8458390330762198,1.1322306772190391
2019-10-01,2.842571072743726,2.236291427268095,1.0064275032356726
2020-01-01,3.1775886287592123,2.3869207557226546,0.8099226009479549
2020-04-01,3.3049771079911476,2.9918008038956727,0.7647286288808666
2020-07-01,4.110471787428359,4.182944645071647,0.9730265812630431
2020-10-01,4.370171398876455,4.794018179579432,1.5300664497421583
2021-01-01,4.623216150538727,5.182371719004973,1.5640469424337797
2021-04-01,4.159345106366457,4.386768012921105,1.4489025788381982
