,1540_T_純金上場信託ETF_日足,1942_T_Kandenko Co,5838_T_楽天銀行_日足,5844_T_京都銀行_日足,7974_T_任天堂_日足,9697_T_カプコン_日足
2024-11-01,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-04,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-05,0.9913589945011784,1.0227113088269726,0.975523349436393,1.0408616896246086,0.9614466796508105,1.024021059771533
2024-11-06,0.9937156323644933,1.0128775462420978,1.0305958132045088,1.0408616896246086,1.0172045981141014,1.0388285502084846
2024-11-07,0.9721131186174391,1.0199016623741513,1.114975845410628,1.0524094916099715,1.0307672816128375,1.0207304704695237
2024-11-08,0.9780047132757266,1.0199016623741513,1.1342995169082126,1.0532978178483317,1.0288835944462424,1.0651529417803791
2024-11-11,0.9756480754124116,1.0039803324748302,1.1587761674718196,1.0546303072058714,1.0360417168696003,1.088186905472354
2024-11-12,0.950510604870385,1.0700070241161321,1.2399355877616747,1.0588496372814231,1.0473440251863317,1.0664691775011828
2024-11-13,0.9619010212097407,1.0683680636853197,1.2280193236714976,1.0530757362887415,1.012934828958129,1.1319512589228078
2024-11-14,0.9485467399842891,1.0889721376726762,1.2847020933977455,1.0652897829528747,1.0170790148515025,1.1661730648195245
2024-11-15,0.9477611940298507,1.0756263170217748,1.2847020933977455,1.0337552992743873,1.0371719662329895,1.177360907024266
2024-11-18,0.950903377847604,1.0725825333645516,1.2734299516908212,1.0102154224061521,1.029762677284434,1.1411648282573887
2024-11-19,0.9646504320502749,1.0760945914305784,1.2827697262479871,0.9995558368808201,1.0267487407544496,1.0964132980163324
2024-11-20,0.9721131186174391,1.0648560056192928,1.2840579710144928,0.9860093008591472,1.033027780339616,1.112866002393244
2024-11-21,0.9795758051846033,1.0353547178646687,1.3085346215780997,1.0057739009926816,1.0301394270722304,1.1194471809972624
2024-11-22,0.9897879025923016,1.040271599157106,1.3152979066022543,1.0068843087906314,1.0254929081284616,1.1210923949372222
2024-11-25,0.9780047132757266,1.0304378365722313,1.2863123993558776,1.0217633341698442,1.0296370940218351,1.1316221999926068
2024-11-26,0.9587588373919874,1.01709201592133,1.2640901771336555,1.0022207058175707,1.0434510058181559,1.122079571727825
2024-11-27,0.9564021995286724,1.0107703114024817,1.2309178743961353,0.9864534639783271,1.0708275393408255,1.1428101229083933
2024-11-28,0.9501178318931658,1.0437836572231327,1.3069243156199677,0.99933375532123,1.1032274033674476,1.1579466722755463
2024-11-29,0.9493322859387274,1.0320767970030438,1.378743961352657,1.0031090320559308,1.1063669231600306,1.1536689061829342
2024-12-02,0.9395129615082483,1.0409740107703114,1.4383252818035426,1.0521874100503816,1.11201810820459,1.1549851419037378
2024-12-03,0.9450117831893166,1.041442285179115,1.4363929146537842,1.0566289314638524,1.1226925002083274,1.1576176133453453
2024-12-04,0.94344069128044,1.0259892296885975,1.3642512077294686,1.0426382323229995,1.1530830320333685,1.1674893005403282
2024-12-05,0.9446190102120974,1.0550222430344183,1.3236714975845412,1.0344215439531572,1.1672736318450985,1.1684763966198861
2024-12-06,0.9395129615082483,1.048934675719972,1.376489533011272,1.0390850371478888,1.1375109545606645,1.1484040440107643
2024-12-09,0.9395129615082483,1.0667291032545072,1.3520128824476652,1.0381968206878578,1.1573527394169538,1.1513655743825726
2024-12-10,0.9591516103692066,1.03816436431749,1.3510466988727858,1.0339773808339772,1.1348737678184766,1.163211534447716
2024-12-11,0.9721131186174391,1.0491688129243737,1.3816425120772946,1.034199462393567,1.1431621396052238,1.1645277701685197
2024-12-12,0.9831107619795758,1.0515101849683914,1.3880837359098228,1.036642249770728,1.1476830135140068,1.177360907024266
2024-12-13,0.9752553024351924,1.077499414656989,1.431561996779388,1.0173218127563735,1.1457993263474118,1.1332674946436114
2024-12-16,0.9666142969363708,1.0910793725122923,1.3867954911433171,1.0095491777273822,1.1533341985585661,1.1312931410624059
2024-12-17,0.9681853888452474,1.0648560056192928,1.4093397745571659,1.0079947165885814,1.1917619356451568,1.1576176133453453
2024-12-18,0.9622937941869599,1.0585343011004449,1.4170692431561998,0.9922273649710086,1.1635062575119084,1.1296478464114013
2024-12-19,0.9611154752553024,1.074455630999766,1.45829307568438,0.9897845775938479,1.1817153981820263,1.1309640821322051
2024-12-20,0.969363707776905,1.1084055256380239,1.4122383252818036,0.9822341339027755,1.1466783474132165,1.1191181220670614
2024-12-23,0.9780047132757266,1.0952938421915241,1.4389694041867955,1.0031090320559308,1.1517016779171685,1.1237248663788295
2024-12-24,0.97643362136685,1.0831187075626316,1.4476650563607085,1.0228736321894651,1.1588597385681396,1.1289897285509995
