,1540_T_純金上場信託ETF_日足,7974_T_任天堂_日足,AAPL_アップル_日足
2025-04-01,1.0,1.0,1.0
2025-04-02,0.9848591549295774,0.9673704414587332,1.003136332967867
2025-04-03,0.9686619718309859,0.9574856046065259,0.9103902812629725
2025-04-04,0.9686619718309859,0.9574856046065259,0.844034265473078
2025-04-07,0.9485915492957746,0.9444337811900192,0.8130293053914122
2025-04-08,0.9404929577464789,0.9025911708253359,0.772525668436312
2025-04-09,0.9767605633802817,1.0081573896353166,0.8909449484057312
2025-04-10,0.9866197183098592,0.963531669865643,0.8531744358365764
2025-04-11,0.9866197183098592,0.963531669865643,0.8878085469813984
2025-04-14,0.9919014084507042,0.9889635316698656,0.9073883283369241
2025-04-15,1.0059859154929578,0.963531669865643,0.9056857475829391
2025-04-16,1.0169014084507042,0.9928023032629558,0.870424301388078
2025-04-17,1.0147887323943663,0.9952015355086372,0.8825664246776248
2025-04-18,1.0147887323943663,0.9952015355086372,0.8825664246776248
2025-04-21,1.0450704225352112,0.9764875239923224,0.8654509391679418
2025-04-22,1.0049295774647888,0.9995201535508638,0.8949326059788233
2025-04-23,1.0105633802816902,1.055662188099808,0.916707786183623
2025-04-24,1.0073943661971831,1.0940499040307101,0.9335991452251888
2025-04-25,1.0073943661971831,1.0940499040307101,0.9376764123116489
2025-04-28,1.0073943661971831,1.0940499040307101,0.941529621386457
2025-04-29,1.0028169014084507,1.13531669865643,0.946323764579858
2025-04-30,0.9922535211267606,1.1655470249520155,0.9521036124203027
2025-05-01,1.0066901408450704,1.1861804222648753,0.9557776024683758
2025-05-02,1.0066901408450704,1.1861804222648753,0.9200681087066765
2025-05-05,1.0066901408450704,1.1861804222648753,0.8911241674324665
2025-05-06,1.0302816901408451,1.1852207293666026,0.8894215182220157
2025-05-07,1.026056338028169,1.1535508637236085,0.8792956432114736
2025-05-08,1.0264084507042253,1.1343570057581573,0.8848515014967322
2025-05-09,1.0264084507042253,1.1343570057581573,0.8895111961918488
2025-05-12,1.0221830985915492,1.1521113243761996,0.945680410716887
2025-05-13,1.0102112676056338,1.1228406909788868,0.9552812246368795
2025-05-14,0.9753521126760564,1.0983685220729367,0.952589447956109
2025-05-15,0.9964788732394366,1.1170825335892514,0.9486414266765536
2025-05-16,0.9964788732394366,1.1170825335892514,0.9477890067678801
2025-05-19,0.9887323943661972,1.1065259117082533,0.9366628458831376
2025-05-20,1.0140845070422535,1.0810940499040307,0.9280490372830342
2025-05-21,1.0169014084507042,1.0748560460652592,0.9066490669657576
2025-05-22,1.0165492957746478,1.1324376199616122,0.903374041198744
2025-05-23,1.0165492957746478,1.1324376199616122,0.8760521074185996
