,1540_T_純金上場信託ETF_週足,7974_T_任天堂_週足,AAPL_アップル_週足
2024-07-29,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-12,2.9725963771481654,4.063580845740885,4.536629513883157
2024-08-19,2.1365536460752437,5.435196898923057,5.023374507232577
2024-08-26,2.415234556432884,1.294708746918386,6.023428528568028
2024-09-02,0.9289363678588017,-0.4871155078175684,2.2362138898920683
2024-09-09,1.672085462145843,-2.794512091280654,3.0140289579880175
2024-09-16,3.855085926614027,-1.679276956014013,5.65303499944494
2024-09-23,9.521597770552717,3.1662634719248732,5.463215936889483
2024-09-30,9.614491407338598,-0.3071223806280005,5.004864047014753
2024-10-07,10.682768230376219,1.4310372267094849,5.352096460269746
2024-10-14,14.305620065025545,3.2464399247437394,8.801330371092574
2024-10-21,15.884811890385508,3.0275654944368755,7.139217235103007
2024-10-28,18.25359962842545,2.525428384909822,3.2038480205434476
2024-11-04,15.652577798420808,5.486730306052938,5.078948424370641
2024-11-11,12.076172782164422,6.3364930014921494,4.286096708966392
2024-11-18,17.04598235020901,5.139098384585441,6.5433094434257235
2024-11-25,12.261960055736182,13.430743763786168,10.000972667614692
2024-12-02,11.10078959591268,16.62380029924095,12.554820666889885
2024-12-09,15.32745006967023,17.47356299468016,15.00670871256385
2024-12-16,14.630747793776127,17.56369260493707,17.954536721676313
2024-12-23,16.76730143985137,20.383369522025433,18.464371936752816
2024-12-30,16.07059916395727,19.276104515375632,12.795846567497135
2025-01-06,19.368323269856013,19.07009759796289,9.778506853123972
2025-01-13,18.625174175568972,18.207461054074216,6.594296509640427
2025-01-20,21.040408732001858,27.335995280264697,3.2571391463410024
2025-01-27,21.319089642359497,31.713572584176724,9.384533932700787
2025-02-03,22.10868555503948,39.11682105147917,5.505086016570257
2025-02-10,25.87087784486763,44.78192258255482,13.370578279254616
2025-02-17,24.849047840222944,47.48572219248735,13.936029947953793
2025-02-24,20.715281003251278,43.68753142435448,12.214571326524407
2025-03-03,20.99396191360892,33.06546605358765,10.929288907661688
2025-03-10,24.941941477008825,32.164195293239914,-0.9399145215162749
2025-03-17,28.05387830933581,40.2755941230375,1.2780157694091898
2025-03-24,31.490942870413374,39.50307451829506,1.1063314281242145
2025-03-31,27.775197398978168,29.453743350201115,-12.591040483532048
2025-04-07,30.143985137018113,30.27118204229921,-8.057735904862307
2025-04-14,33.85973060845332,34.55300376281303,-8.600614879063787
2025-04-21,32.88434742220158,47.9174776177501,-2.893374219402311
2025-04-28,32.7914537854157,60.37368625924484,-4.716906225058543
2025-05-05,35.392475615420345,53.36706889840405,-7.881407997341175
2025-05-12,31.444496052020437,51.03152977812378,-1.974649956634028
2025-05-19,34.09196470041802,53.10756455170625,-9.275243524919068
