Date,1540_T_純金上場信託ETF_四半期足,7974_T_任天堂_四半期足,AAPL_アップル_四半期足
2022-01-01,1.0,1.0,1.0
2022-04-01,1.0540992749581706,0.9719741786625288,0.7841525409411143
2022-07-01,1.024818739542666,0.9696551840822956,0.7937419693883085
2022-10-01,1.030814277746793,0.9260920118442277,0.7474817335539742
2023-01-01,1.121723368655884,0.858962133495945,0.9501111947949632
2023-04-01,1.1735917456776352,1.1218152416289442,1.1191508470100116
2023-07-01,1.1834913552704964,1.0683138825010186,0.9891662213243251
2023-10-01,1.2455382041271612,1.278342055799597,1.1138078948749026
2024-01-01,1.4863357501394312,1.425475677331309,0.9932971012881879
2024-04-01,1.581148912437256,1.5097922794835872,1.2216700471188497
2024-07-01,1.5902119353039599,1.347449053633923,1.3530464528371346
2024-10-01,1.7421918572225321,1.6419130493025749,1.4558054709084005
2025-01-01,1.9882877858337982,1.7918545816844256,1.2927626015580613
2025-04-01,2.012688232013385,2.107625070468132,1.1379317857057112
