Date,1305_T_TOPIX(ETF)_四半期足,1329_T_iシェアーズ・コア 日経225(ETF)_四半期足,7974_T_任天堂_四半期足,9697_T_カプコン_四半期足,9766_T_コナミ_四半期足
2007-07-01,,,1.0,1.0,1.0
2007-10-01,1.0,1.0,0.7322176547749641,0.7865857332538173,0.9439527969973903
2008-01-01,1.0187140344472838,1.026674602799106,0.8090000367890479,0.9555631496777626,1.1051154509865755
2008-04-01,0.962280556200843,0.9916460713094116,0.7520280585781342,1.0351931884369516,1.0159931754695022
2008-07-01,0.6447243885441211,0.6324931339097087,0.45199378195300793,0.6658256347560415,0.5150786837902475
2008-10-01,0.5905482914634012,0.5950462663375272,0.4050615498717418,0.5039929461497635,0.5492774004019247
2009-01-01,0.6313259549331298,0.6470760966419713,0.38736998087468005,0.5291895012332108,0.4434213527588027
2009-04-01,0.6939487715572075,0.7672578630123219,0.3752185035152484,0.5957269043178384,0.6149304018060971
2009-07-01,0.6568121328775761,0.736479686568185,0.34458217461956486,0.4852399496255825,0.5177017478865655
2009-10-01,0.6640937399749998,0.7540671006090368,0.3790403522017946,0.46831295614033175,0.4625876459617892
2010-01-01,0.7318139028086594,0.8192878952100809,0.48103838633066537,0.601414657698753,0.5776040145782871
2010-04-01,0.6225879157955287,0.7078997551276328,0.3692294658539311,0.4200708308219371,0.4185900524584116
2010-07-01,0.5956455823626368,0.6763887226504863,0.3181761375866524,0.40553481754784454,0.4504044697766145
2010-10-01,0.6706473522937201,0.7533344868149351,0.3426393340324914,0.45009548111724945,0.5212366246741681
2011-01-01,0.6335104370623569,0.7284185933005233,0.30004923152265084,0.4884029667055963,0.512525512576509
2011-04-01,0.6189470016261241,0.732082792609035,0.19145110261960951,0.6571771514273049,0.6499697944106361
2011-07-01,0.5665186008694787,0.665396407144101,0.18833036445384366,0.6788533436685869,0.8411159209576081
2011-10-01,0.5592368278410159,0.6492745839671391,0.16024468056787536,0.5553059681117131,0.6522540622068661
2012-01-01,0.6094808017787807,0.7144952977943221,0.1704766469803719,0.6085455152510281,0.7642535554954272
2012-04-01,0.539576156815894,0.647809033448842,0.13760798806878335,0.529396113501923,0.552441285194726
2012-07-01,0.5504987887034148,0.6617324499918217,0.1608833793163199,0.5115465733683349,0.6082733558955149
2012-10-01,0.6990461177667895,0.825150339687528,0.13949514658740703,0.49506680894211547,0.6435260629171806
2013-01-01,0.8738075089326209,1.0340027588465202,0.17022464449466854,0.5484206987710448,0.7485714775039639
2013-04-01,0.8417679952211861,1.0222777896964925,0.19721920659483064,0.5952328941844911,0.7317266230552939
2013-07-01,0.9014195400391597,1.076128295073036,0.1749883775521405,0.6313890966390606,0.8032888978528677
2013-10-01,0.921973030675118,1.1238957003029557,0.1929317994859304,0.6951135204165336,0.8355290829020482
2014-01-01,0.8874724277923428,1.0834150332277332,0.17196758795149708,0.6209329548159451,0.7966074061770574
2014-04-01,0.9733570061615726,1.1864572375114468,0.18453690514776486,0.6600248312550474,0.8256682065744662
2014-07-01,1.025114879589376,1.2515944687835803,0.19070142606911814,0.6044472743983935,0.7556761057618525
2014-10-01,1.092018717021206,1.3511868322084593,0.18301576774605469,0.6980890154855798,0.7580784403850548
2015-01-01,1.2369771789510946,1.4903706177327032,0.32864875322514825,0.7971712314588358,0.7622965069441282
2015-04-01,1.2704289870463168,1.5714335194328646,0.352747399118997,0.9651466579222683,0.8930842690974528
2015-07-01,1.2216627396320756,1.468759559626763,0.3155243600824274,0.9166330432873585,0.9556067773803095
2015-10-01,1.1311133972720937,1.3527853576669917,0.269766934901032,0.9495744761663105,0.9583785731480443
2016-01-01,1.0624467084812885,1.2925765976809087,0.24720921672328425,0.9157588685681493,1.194949380522303
2016-04-01,1.0254722950475117,1.2873101584737106,0.35079072525171334,0.7603617345328644,1.3880200250523647
2016-07-01,1.115896193541964,1.3499049593006929,0.4149786409168588,0.9914765976308594,1.4484376142157818
2016-10-01,1.2191629332182878,1.4764583833676213,0.3771347991592157,0.8735220710225201,1.5794782058587935
2017-01-01,1.2391997699089592,1.4901845980935782,0.4649782720293866,0.8877330776299367,1.6333590643749327
2017-04-01,1.2908331950574674,1.550485318748459,0.6214078959266748,1.0107008848931036,2.026281637412756
2017-07-01,1.441812741291386,1.7263234498886122,0.7281735015367155,1.0700733761896364,1.9490502413576805
2017-10-01,1.5013012312083098,1.811498807630235,0.7974995211940309,1.5486428715883873,2.211286614589692
2018-01-01,1.4660777220986958,1.7648714994066796,0.7753460837460303,1.5787362766401072,1.9202417442201791
2018-04-01,1.422244272613635,1.7740039004449117,0.6173212209297978,2.172545107196769,1.8738420552889536
2018-07-01,1.3719113043285878,1.722103775434175,0.5928746991946987,1.7690733051977405,1.551021995639373
2018-10-01,1.308138585603823,1.6375599485801042,0.5704479360696076,1.7585068475362535,1.802928286936451
2019-01-01,1.365534021394042,1.7569207744845496,0.6538567833271636,1.9058120488559471,1.836097411064297
2019-04-01,1.296978174537329,1.7012784568431136,0.6899910061246287,1.74376121428357,1.6836938039218088
2019-07-01,1.4221978119226983,1.8266768469400325,0.6689672616356331,1.9667986612161332,1.7434616428243115
2019-10-01,1.4384889213376255,1.8498283799757889,0.7062089942941084,2.382837221945922,1.5497438313431642
2020-01-01,1.2674341530326663,1.6276776552515837,0.7894409749636072,2.54333796736083,1.247156349947779
2020-04-01,1.2682485425723735,1.751328397452954,0.8210891771506315,3.187855493907722,1.1775647578367097
2020-07-01,1.378200090708968,1.8667007812354421,1.021206642885721,4.457056564632554,1.4983117591880677
