Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2009-05-13 00:00:00+09:00,698.8650512695312,698.8650512695312,698.8650512695312,698.8650512695312,0,0.0,0.0,0.0
2009-05-14 00:00:00+09:00,678.4415283203125,678.4415283203125,678.4415283203125,678.4415283203125,0,0.0,0.0,0.0
2009-05-15 00:00:00+09:00,691.790054563492,693.3623046875,690.2178044394841,693.3623046875,8840,0.0,0.0,0.0
2009-05-18 00:00:00+09:00,676.0673828125,676.0673828125,674.495133085029,676.0673828125,3830,0.0,0.0,0.0
2009-05-19 00:00:00+09:00,690.217574306819,690.217574306819,688.6453247070312,688.6453247070312,1140,0.0,0.0,0.0
2009-05-20 00:00:00+09:00,694.9344639487514,696.5067138671875,694.9344639487514,696.5067138671875,1390,0.0,0.0,0.0
2009-05-21 00:00:00+09:00,688.6455842802357,690.2178344726562,688.6455842802357,690.2178344726562,1550,0.0,0.0,0.0
2009-05-22 00:00:00+09:00,689.4314866737811,689.4314866737811,686.2869873046875,686.2869873046875,1210,0.0,0.0,0.0
2009-05-25 00:00:00+09:00,691.7899406320781,695.7205652947604,691.7899406320781,694.1483154296875,310,0.0,0.0,0.0
2009-05-26 00:00:00+09:00,695.7206420898438,695.7206420898438,695.7206420898438,695.7206420898438,5230,0.0,0.0,0.0
2009-05-27 00:00:00+09:00,704.3678801907969,704.3678801907969,700.437255859375,700.437255859375,1160,0.0,0.0,0.0
2009-05-28 00:00:00+09:00,705.940185546875,705.940185546875,705.940185546875,705.940185546875,1050,0.0,0.0,0.0
2009-05-29 00:00:00+09:00,704.3679887820513,705.1541137695312,700.4373638446515,705.1541137695312,780,0.0,0.0,0.0
2009-06-01 00:00:00+09:00,719.3043430873325,720.0904680524553,715.3737182617188,715.3737182617188,4060,0.0,0.0,0.0
2009-06-02 00:00:00+09:00,725.5933902523924,726.3795152689172,719.304390120194,720.0905151367188,2650,0.0,0.0,0.0
2009-06-03 00:00:00+09:00,719.30419921875,721.662573642418,719.30419921875,719.30419921875,2030,0.0,0.0,0.0
2009-06-04 00:00:00+09:00,719.3042363618549,719.3042363618549,715.3736121194404,716.9458618164062,6660,0.0,0.0,0.0
2009-06-05 00:00:00+09:00,719.30419921875,719.30419921875,719.30419921875,719.30419921875,300,0.0,0.0,0.0
2009-06-08 00:00:00+09:00,727.16552734375,727.16552734375,726.3794024493243,727.16552734375,7770,0.0,0.0,0.0
2009-06-09 00:00:00+09:00,726.3795923968546,726.3795923968546,720.8767166968784,721.662841796875,2530,0.0,0.0,0.0
2009-06-10 00:00:00+09:00,732.6682980134525,735.8127971465574,732.6682980134525,735.0266723632812,1740,0.0,0.0,0.0
2009-06-11 00:00:00+09:00,739.7436601189291,740.52978515625,739.7436601189291,740.52978515625,1430,0.0,0.0,0.0
2009-06-12 00:00:00+09:00,745.2463696904543,750.7492437282531,744.4602448279117,748.390869140625,2550,0.0,0.0,0.0
2009-06-15 00:00:00+09:00,747.6048882392795,747.6048882392795,742.8881381557509,744.4603881835938,3510,0.0,0.0,0.0
2009-06-16 00:00:00+09:00,726.379322489754,726.379322489754,717.7319496029713,719.30419921875,8590,0.0,0.0,0.0
