Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-03-01 00:00:00-05:00,0.05437639302090172,0.063439125191052,0.05437639302090172,0.058640919625759125,1857052800,0.0,0.0
1986-04-01 00:00:00-05:00,0.05864088729220726,0.07490061456537216,0.057041690697154555,0.06876974552869797,547142400,0.0,0.0
1986-05-01 00:00:00-04:00,0.06876975525364527,0.07570022128008955,0.06610442721831168,0.07463409006595612,333446400,0.0,0.0
1986-06-01 00:00:00-04:00,0.07463410552283296,0.07463410552283296,0.06290604660388308,0.0655713751912117,293788800,0.0,0.0
1986-07-01 00:00:00-04:00,0.06557138016566305,0.06717057743938036,0.05544251763070294,0.060773175209760666,460800000,0.0,0.0
1986-08-01 00:00:00-04:00,0.060773175209760666,0.06557138016566305,0.0581078464202318,0.060773175209760666,266256000,0.0,0.0
1986-09-01 00:00:00-04:00,0.060773147961662305,0.06717054732295985,0.05597555829154579,0.06024008244276047,285120000,0.0,0.0
1986-10-01 00:00:00-04:00,0.06024007759112966,0.08582906441658233,0.05864088116322065,0.08263067156076431,1565712000,0.0,0.0
1986-11-01 00:00:00-05:00,0.0831637430362667,0.10928517637362349,0.0831637430362667,0.10608678311109543,1053964800,0.0,0.0
1986-12-01 00:00:00-05:00,0.10608675121991305,0.10661982117904996,0.09649096118245536,0.10288836807012558,721526400,0.0,0.0
1987-01-01 00:00:00-05:00,0.10288842791309316,0.16526078829139756,0.10128922625679772,0.1559315323829651,1961596800,0.0,0.0
1987-02-01 00:00:00-05:00,0.15593144493411124,0.16952584105296478,0.14180459197935796,0.16366149485111237,1834272000,0.0,0.0
1987-03-01 00:00:00-05:00,0.16366157294598657,0.21110748595284207,0.15673110179915375,0.20630989968776703,1783324800,0.0,0.0
1987-04-01 00:00:00-05:00,0.20630973750289353,0.23243115546126175,0.19298186675991233,0.22176922857761383,2118585600,0.0,0.0
1987-05-01 00:00:00-04:00,0.22176936522109345,0.2734804169161743,0.21910404200491682,0.24575915932655334,2192054400,0.0,0.0
