Date,始値,高値,安値,終値,出来高,配当,株式分割
2018-06-25 00:00:00-04:00,43.440227451814856,44.35924762756612,42.807810158385834,43.84526062011719,486482000,0.0,0.0
2018-07-02 00:00:00-04:00,43.53971598828273,44.63163985358403,43.44496958245434,44.52268600463867,263102000,0.0,0.0
2018-07-09 00:00:00-04:00,44.88508333756679,45.439336269681945,44.437416951749796,45.318538665771484,340328800,0.0,0.0
2018-07-16 00:00:00-04:00,45.36354232946853,45.6311923451208,44.814024012274096,45.3445930480957,351736000,0.0,0.0
2018-07-23 00:00:00-04:00,45.16457875992925,46.41520608862934,44.89929603691719,45.23563766479492,377988800,0.0,0.0
2018-07-30 00:00:00-04:00,45.453543711829404,49.442278613146236,44.783231453061155,49.26463317871094,896758400,0.0,0.0
2018-08-06 00:00:00-04:00,49.26701020816156,49.688621833306435,48.44273624165663,49.15568542480469,486568400,0.1825,0.0
2018-08-13 00:00:00-04:00,49.75117245400073,51.804825431166954,49.368489261841106,51.716880798339844,557495600,0.0,0.0
2018-08-20 00:00:00-04:00,51.840474274493936,52.097177688292845,50.82790700955237,51.37935256958008,451300800,0.0,0.0
2018-08-27 00:00:00-04:00,51.61466717183382,54.40040965059459,51.41976218113475,54.105674743652344,650762400,0.0,0.0
2018-09-03 00:00:00-04:00,54.29106702161057,54.59055673362286,52.46084486110648,52.60108184814453,530531600,0.0,0.0
2018-09-10 00:00:00-04:00,52.51789479196576,54.2768126812802,51.45303872707762,53.2048225402832,792999600,0.0,0.0
2018-09-17 00:00:00-04:00,52.803124948255885,52.99327872841146,51.17494159283771,51.73589324951172,874984400,0.0,0.0
2018-09-24 00:00:00-04:00,51.53623456200751,53.8228239361301,51.49107263018899,53.65644073486328,517372400,0.0,0.0
2018-10-01 00:00:00-04:00,54.18174166422662,55.49379891134216,52.42995760258115,53.311790466308594,570665200,0.0,0.0
2018-10-08 00:00:00-04:00,52.81738401398071,54.02010138082813,50.46661726235674,52.79361343383789,768031200,0.0,0.0
2018-10-15 00:00:00-04:00,52.56781651051929,53.002792088724526,50.62825434678244,52.12808609008789,594081600,0.0,0.0
2018-10-22 00:00:00-04:00,52.242172353906405,53.297522369290135,50.54981135734892,51.41263198852539,742398400,0.0,0.0
2018-10-29 00:00:00-04:00,52.09955546921404,52.853036438239634,48.82892093271074,49.31618881225586,1082425200,0.0,0.0
2018-11-05 00:00:00-05:00,48.56033144117592,49.94369286780634,47.1032826678091,48.600738525390625,764797600,0.1825,0.0
2018-11-12 00:00:00-05:00,47.46560833472231,47.66835233870018,44.34814175892674,46.1609001159668,968906000,0.0,0.0
2018-11-19 00:00:00-05:00,45.31891680749171,45.48588050992795,41.04939925881074,41.0947151184082,657994800,0.0,0.0
2018-11-26 00:00:00-05:00,41.55982660572965,43.60156216051062,40.61051208974046,42.59500503540039,854999600,0.0,0.0
2018-12-03 00:00:00-05:00,43.997522051423864,44.11201094786931,40.14302735557554,40.18834686279297,670107200,0.0,0.0
2018-12-10 00:00:00-05:00,39.355909051049544,41.16151220115701,38.95757998406511,39.47039794921875,870150800,0.0,0.0
2018-12-17 00:00:00-05:00,39.46324978906215,40.15496201508851,35.689854140500515,35.95222473144531,1150777200,0.0,0.0
2018-12-24 00:00:00-05:00,35.33683276314653,37.810294373033734,34.96474113229934,37.26408004760742,764640800,0.0,0.0
2018-12-31 00:00:00-05:00,37.8126836971014,38.010656301323635,33.86993708656744,35.363075256347656,887850000,0.0,0.0
2019-01-07 00:00:00-05:00,35.46802944239403,36.85860564169975,34.80017071531479,36.324317932128906,814824400,0.0,0.0
2019-01-14 00:00:00-05:00,35.98083955026207,37.65763933734888,35.592049747268135,37.404808044433594,621168000,0.0,0.0
2019-01-21 00:00:00-05:00,37.30701996071026,37.71727581628737,36.18358597071484,37.62902069091797,450006400,0.0,0.0
2019-01-28 00:00:00-05:00,37.159134429486144,40.30999415379103,36.651087865628035,39.71846389770508,809187200,0.0,0.0
2019-02-04 00:00:00-05:00,39.93074312992877,41.87707251911279,39.89973428059083,40.646305084228516,605593600,0.1825,0.0
2019-02-11 00:00:00-05:00,40.973938405429216,41.31648403987709,40.542759142895136,40.82302474975586,448918400,0.0,0.0
2019-02-18 00:00:00-05:00,40.652957368979884,41.51771015378206,40.60025746978391,41.433868408203125,325000400,0.0,0.0
2019-02-25 00:00:00-05:00,41.71891885581562,42.12853641012475,41.37636956934882,41.91294860839844,483522400,0.0,0.0
2019-03-04 00:00:00-05:00,42.08542182724401,42.578881130629384,40.602646141444055,41.419490814208984,467119200,0.0,0.0
2019-03-11 00:00:00-04:00,42.03751223176513,44.87370788563967,42.00397627033959,44.583858489990234,632534000,0.0,0.0
2019-03-18 00:00:00-04:00,44.50720466839563,47.35537812184152,44.25089124431877,45.764808654785156,729373200,0.0,0.0
2019-03-25 00:00:00-04:00,45.87500358370892,46.20318087319967,44.21496782601798,45.50131607055664,671354400,0.0,0.0
2019-04-01 00:00:00-04:00,45.906143732401745,47.21405363526623,45.12523276979331,47.19009780883789,446161600,0.0,0.0
2019-04-08 00:00:00-04:00,47.0511574961065,48.59142487646998,47.00085538268717,47.638038635253906,528026800,0.0,0.0
2019-04-15 00:00:00-04:00,47.56857627250104,48.90283244109063,47.4320346437974,48.83336639404297,385342400,0.0,0.0
2019-04-22 00:00:00-04:00,48.58664082283578,49.940061034942055,48.41656321657909,48.93877029418945,389981600,0.0,0.0
2019-04-29 00:00:00-04:00,48.96272593173017,51.576148315160204,47.69554149345281,50.72337341308594,745822400,0.0,0.0
2019-05-06 00:00:00-04:00,48.93636293171112,50.02628709833122,46.17682315066675,47.23320770263672,694654400,0.1925,0.0
2019-05-13 00:00:00-04:00,45.13789754491435,46.28251496902125,43.96923204082823,45.448097229003906,745662000,0.0,0.0
2019-05-20 00:00:00-04:00,44.1303460105512,45.20763326523419,42.75728276872922,43.036224365234375,627880400,0.0,0.0
2019-05-27 00:00:00-04:00,43.024200157633565,43.42577816019838,42.079170014378214,42.09840774536133,418765600,0.0,0.0
2019-06-03 00:00:00-04:00,42.22584955225515,46.15025448218775,40.944164770885116,45.72462844848633,617392800,0.0,0.0
2019-06-10 00:00:00-04:00,46.12379962832416,47.32131971596586,45.76069715733906,46.347434997558594,447372400,0.0,0.0
2019-06-17 00:00:00-04:00,46.38591234133894,48.297620900261016,46.21037310391755,47.79985427856445,526635600,0.0,0.0
2019-06-24 00:00:00-04:00,47.742135897362346,48.47075152579512,46.96062110480964,47.593048095703125,469474000,0.0,0.0
2019-07-01 00:00:00-04:00,48.855492440145404,49.3147835279823,48.24951689852054,49.11038589477539,291262800,0.0,0.0
2019-07-08 00:00:00-04:00,48.28800254709323,49.148871725113736,47.7108853079347,48.88676452636719,406402800,0.0,0.0
2019-07-15 00:00:00-04:00,49.07673698488695,49.65626130249309,48.660731561647836,48.71603775024414,349566400,0.0,0.0
2019-07-22 00:00:00-04:00,48.970927954427324,50.432962526265854,48.961310923282866,49.954437255859375,348612800,0.0,0.0
2019-07-29 00:00:00-04:00,50.12756073104511,53.231975040178284,48.48517696172439,49.05989074707031,879082000,0.0,0.0
2019-08-05 00:00:00-04:00,47.609885257254504,48.94206585910741,46.308962753854466,48.33128356933594,692845600,0.1925,0.0
2019-08-12 00:00:00-04:00,48.18423084985943,51.20630674837518,48.07078205779438,49.84492492675781,644382400,0.0,0.0
2019-08-19 00:00:00-04:00,50.839402136771,51.76147455640672,48.517330103465945,48.91319274902344,567620000,0.0,0.0
2019-08-26 00:00:00-04:00,49.69043007542948,50.798362123414535,49.077327197733794,50.38560485839844,439958400,0.0,0.0
2019-09-02 00:00:00-04:00,49.82801483129245,51.75664015872142,49.294567701961704,51.47663879394531,329948400,0.0,0.0
2019-09-09 00:00:00-04:00,51.85802316738027,54.65320103681513,50.948024187002865,52.80181884765625,701467600,0.0,0.0
2019-09-16 00:00:00-04:00,52.55561828613281,54.011138059839816,52.49286086948886,52.55561828613281,569162000,0.0,0.0
2019-09-23 00:00:00-04:00,52.8500986360361,53.704585063892765,52.413201852131245,52.818721771240234,465780800,0.0,0.0
2019-09-30 00:00:00-04:00,53.32078943057123,55.08769110530739,51.92803081710164,54.79561996459961,634486800,0.0,0.0
2019-10-07 00:00:00-04:00,54.61700002577918,57.36148675350635,54.14872269607749,57.01631546020508,588705600,0.0,0.0
2019-10-14 00:00:00-04:00,56.700108446361,57.4797677821056,56.28976355990565,57.06459426879883,422709600,0.0,0.0
2019-10-21 00:00:00-04:00,57.33252062566095,59.555626113882134,57.28424541113623,59.5194206237793,388122000,0.0,0.0
2019-10-28 00:00:00-04:00,59.72217895227364,61.77631935556102,57.26975974059,61.74977111816406,654221600,0.0,0.0
2019-11-04 00:00:00-05:00,62.114253750003336,62.8649486745845,61.64115145745581,62.792537689208984,423960800,0.1925,0.0
2019-11-11 00:00:00-05:00,62.53555563134457,64.34649897344613,62.53071620379688,64.34165954589844,461333600,0.0,0.0
2019-11-18 00:00:00-05:00,64.35135081188002,64.88398348241031,63.04398844328074,63.37809371948242,455825200,0.0,0.0
2019-11-25 00:00:00-05:00,63.60324417452012,64.88397850557618,63.55240431982742,64.70240020751953,301081200,0.0,0.0
2019-12-02 00:00:00-05:00,64.70725258345007,65.61030482632285,62.048950496580105,65.54009246826172,456599200,0.0,0.0
2019-12-09 00:00:00-05:00,65.36818463384729,66.65133493239513,64.13587418791825,66.61502075195312,568117600,0.0,0.0
2019-12-16 00:00:00-05:00,67.0629282251556,68.43081679971336,67.05808879631384,67.6536636352539,732720000,0.0,0.0
2019-12-23 00:00:00-05:00,67.91755230279523,71.17143628217687,67.87881470917871,70.16185760498047,386438000,0.0,0.0
2019-12-30 00:00:00-05:00,70.07955941969945,72.77660682361557,69.05303880773107,72.0091323852539,526723200,0.0,0.0
2020-01-06 00:00:00-05:00,71.12785407905577,75.69878635468899,70.8760634331092,75.13225555419922,670091600,0.0,0.0
2020-01-13 00:00:00-05:00,75.44943491302143,77.16837061022176,74.9434301068798,77.16595458984375,652055600,0.0,0.0
2020-01-20 00:00:00-05:00,76.79310660411488,78.2796239983564,76.42026370411435,77.06426239013672,463685200,0.0,0.0
2020-01-27 00:00:00-05:00,75.06689317933983,79.37393272528716,73.81279410198577,74.9337387084961,866734800,0.0,0.0
2020-02-03 00:00:00-05:00,73.67236242537203,78.73718948096914,73.16878854847751,77.48066711425781,652341200,0.1925,0.0
