日付,始値,高値,安値,終値,出来高,配当,株式分割
2001-12-31,1129.932071155351,1530.1497739045517,793.9573844065139,1400.5205078125,38006330,12.0,0.0
2002-12-31,1400.521242749992,1447.410940745146,631.834179822327,687.8588256835938,59280000,15.0,0.0
2003-12-31,687.8587966935196,739.5260185266075,501.61343421892735,635.5525512695312,77455000,14.0,0.0
2004-12-31,635.5525779538401,866.9095572430712,615.3360039898504,817.645751953125,62972000,14.0,0.0
2005-12-31,817.6460259052659,950.5628005201954,712.7214461297948,935.5056762695312,61325000,27.0,0.0
2006-12-31,935.5060831453308,2074.322956171622,935.5060831453308,2067.631591796875,114258000,39.0,0.0
2007-12-31,2067.6313373258995,4924.859858194987,1894.9941577045136,4542.34765625,219482000,76.0,0.0
2008-12-31,4542.346451822917,4542.346451822917,1614.8376936613372,2386.929931640625,342776000,178.0,0.0
2009-12-31,2386.92989247368,2602.6376309046345,1477.0210629326098,1628.1717529296875,89693000,105.0,0.0
2010-12-31,1628.1717213747531,2468.269339120255,1519.0969724673598,1794.88525390625,76959000,80.0,0.0
2011-12-31,1794.8851079919384,2018.680328076559,795.502899691095,805.4371337890625,88056000,31.0,0.0
2012-12-31,805.4372700038416,999.5369257796824,620.7953567243303,698.5872192382812,57422000,10.0,0.0
2013-12-31,698.5873347715703,1122.2039174250358,642.3612860317887,1089.541015625,1051501000,10.0,0.0
2014-12-31,1089.5411812487944,1255.966458041972,789.6770393416956,988.4688110351562,2169163000,10.0,0.0
2015-12-31,988.4688617642888,2063.4495042315107,873.5853328087406,1329.12646484375,2190799000,21.0,0.0
2016-12-31,1329.1261952336365,2612.367507306622,1067.3161136495114,1960.4739990234373,6326447000,12.0,0.0
2017-12-31,1960.474128591148,3923.697042441579,1757.9552540101397,3353.74755859375,6297326000,54.0,0.0
2018-12-31,3353.747350791755,4069.441432206164,2234.2895692053844,2418.4501953125,5542214000,65.0,0.0
2019-12-31,2418.4501889618127,3987.20206737193,2264.432446007612,3730.15478515625,3939338000,91.0,0.0
2020-12-31,3730.155137743937,5958.142603047148,2704.5110132592827,5778.20458984375,2993645000,163.0,0.0
2021-12-31,5778.204555668899,6200.458326230511,4347.699455887388,4870.62255859375,2281382000,203.0,0.0
2022-12-31,4870.622009538178,6089.866815370622,4670.894732353015,5184.9287109375,1553790500,204.0,10.0
2023-12-31,5184.928466666666,7192.090329443538,4682.557135472496,7157.078125,1116404600,203.0,0.0
2024-12-31,7157.078581904332,9513.12025886496,6441.435900325867,9192.609375,1042077700,166.0,0.0
2025-12-31,9192.60927877566,12540.0,8819.506829637097,11895.0,515945400,85.0,0.0
