Date,始値,高値,安値,終値,出来高,配当,株式分割
2004-11-01 00:00:00+09:00,770.301916015625,801.6514125976562,767.1029877929687,799.7320556640625,513000,0.0,0.0
2004-11-08 00:00:00+09:00,801.011566502816,806.1298512728021,774.1405714603893,802.2911376953125,1247000,0.0,0.0
2004-11-15 00:00:00+09:00,804.8500246729392,806.7693808526043,774.7801111915177,784.3768920898438,941000,0.0,0.0
2004-11-22 00:00:00+09:00,771.5814564366495,802.9309517645067,761.3448865336757,793.3341674804688,924000,0.0,0.0
2004-11-29 00:00:00+09:00,791.4146707657394,802.291024365592,777.3393896365185,786.29638671875,881000,0.0,0.0
2004-12-06 00:00:00+09:00,785.0170576745128,792.6944861114273,763.9041294729977,768.3826293945312,2309000,0.0,0.0
2004-12-13 00:00:00+09:00,771.5814187032717,822.1244801274494,766.4631340020891,818.2857666015625,1368000,0.0,0.0
2004-12-20 00:00:00+09:00,825.9630402349849,831.0813239854727,813.1673308587651,819.565185546875,775000,0.0,0.0
2004-12-27 00:00:00+09:00,820.8449853649348,824.6836992481692,802.291201595969,817.6460571289062,450000,0.0,0.0
2005-01-03 00:00:00+09:00,817.6460700934144,831.7213545551164,803.5707856317124,804.2105712890625,824000,0.0,0.0
2005-01-10 00:00:00+09:00,804.210581596324,807.4095099240739,769.662155656625,772.861083984375,1677000,0.0,0.0
2005-01-17 00:00:00+09:00,772.8612842252438,783.0978575262404,748.5494226353769,754.3074951171875,1340000,0.0,0.0
2005-01-24 00:00:00+09:00,747.9094838045622,774.1406975222585,727.4363413907504,737.6729125976562,2010000,0.0,0.0
2005-01-31 00:00:00+09:00,733.194243099815,757.5060940926535,726.7963875753837,729.3555297851562,1285000,0.0,0.0
2005-02-07 00:00:00+09:00,748.5491979022655,767.102981440014,744.7104840668693,766.4631958007812,1286000,0.0,0.0
2005-02-14 00:00:00+09:00,774.1406234715738,776.0599803892719,753.0276973768945,766.4631958007812,907000,0.0,0.0
2005-02-21 00:00:00+09:00,765.1836522854229,768.3825805976529,741.5115827749207,749.8287963867188,690000,0.0,0.0
2005-02-28 00:00:00+09:00,756.8665924330452,761.9848787724064,737.6730186604404,756.226806640625,916000,0.0,0.0
2005-03-07 00:00:00+09:00,758.1459316531988,761.3448596348578,743.4308629375671,745.3502197265625,2666000,0.0,0.0
2005-03-14 00:00:00+09:00,744.0705687945822,744.7103543223506,724.2372174337636,735.7533569335938,1129000,0.0,0.0
2005-03-21 00:00:00+09:00,735.7533887183378,739.5921020507812,712.7211087236768,739.5921020507812,969000,0.0,0.0
2005-03-28 00:00:00+09:00,731.9147667679647,750.4685501912785,724.2373391445245,743.430908203125,902000,20.0,0.0
2005-04-04 00:00:00+09:00,760.4254857323103,809.2541770250529,750.6597474737619,798.1863403320312,2237000,0.0,0.0
2005-04-11 00:00:00+09:00,796.8845618348289,805.9992545355541,775.3999290402625,779.957275390625,857000,0.0,0.0
2005-04-18 00:00:00+09:00,758.4726485364815,776.702034080706,745.4516588620355,767.5873413085938,1189000,0.0,0.0
2005-04-25 00:00:00+09:00,768.2384017619681,784.5146390874336,761.0768573387633,764.983154296875,526000,0.0,0.0
2005-05-02 00:00:00+09:00,764.3320894946878,785.1656728539978,759.1236936548603,783.2125244140625,388000,0.0,0.0
2005-05-09 00:00:00+09:00,790.3740732388743,790.3740732388743,764.9831433737046,767.5873413085938,584000,0.0,0.0
2005-05-16 00:00:00+09:00,762.3790073910275,780.6083944166029,742.8475212921968,770.8426513671875,539000,0.0,0.0
2005-05-23 00:00:00+09:00,768.8894860777136,781.2594270052975,756.5195451501298,760.4258422851562,432000,0.0,0.0
2005-05-30 00:00:00+09:00,747.4048117897728,762.3789500050731,747.4048117897728,751.962158203125,737000,0.0,0.0
