Date,始値,高値,安値,終値,出来高,配当,株式分割
2000-10-01,1138.7072820241742,1188.10889946557,1047.9318099756094,1159.08544921875,1476000,0.0,0.0
2001-01-01,1149.204775377843,1368.0128511679295,1112.7715800743067,1226.1953125,8850000,6.0,0.0
2001-04-01,1264.5912494049005,1542.0329637610394,1238.581047409305,1368.6314697265625,8720330,0.0,0.0
2001-07-01,1350.053162496266,1386.5912985454768,800.1233049098068,1180.723876953125,10704000,6.0,0.0
2001-10-01,1191.9158121168443,1482.278086281663,1179.4805923764495,1206.8382568359375,12388000,0.0,0.0
2002-01-01,1210.568660410678,1336.7862063038108,1086.2090105037626,1119.9189453125,15035000,8.0,0.0
2002-04-01,1129.282504857513,1197.3266137737478,875.8340787541946,930.14453125,15307000,0.0,0.0
2002-07-01,931.3927941877412,992.5703304893092,636.7410213499629,738.36865234375,14223000,7.0,0.0
2002-10-01,758.4432678222657,851.2881542637338,579.0264262076511,589.063720703125,16044000,0.0,0.0
2003-01-01,590.9458594062667,640.5050408973457,536.9954113693711,580.70361328125,15538000,7.0,0.0
2003-04-01,575.6485488320047,674.2227644256149,505.5091537492906,607.8746948242188,22663000,0.0,0.0
2003-07-01,614.1934277949683,659.6892372612623,518.8846757169256,531.6180419921875,22191000,7.0,0.0
2003-10-01,531.6179978306814,724.528517978449,531.6179978306814,653.8583374023438,16656000,0.0,0.0
2004-01-01,662.1350109139817,745.6230931473508,620.1149044521329,670.6119995117188,18984000,7.0,0.0
2004-04-01,670.6117611352258,843.0735077144593,651.3781542193017,800.7594604492188,16231000,0.0,0.0
2004-07-01,794.9893651179195,873.6420665898175,728.3129120331268,766.6128540039062,13295000,7.0,0.0
2004-10-01,776.2842485175074,838.1808113418488,733.0858326889862,752.428466796875,15589000,0.0,0.0
2005-01-01,762.0996175479479,815.5394463202294,718.2563231374061,770.9242553710938,15229000,20.0,0.0
2005-04-01,770.2680767368983,816.1954524822414,735.4944697920894,773.548583984375,9840000,0.0,0.0
2005-07-01,780.7656255261652,921.6597834660456,730.2454968156486,857.664794921875,19736000,7.0,0.0
2005-10-01,868.8801491477274,1130.1382250158722,763.3214370265152,1063.5042724609375,19532000,0.0,0.0
2006-01-01,1072.080777942927,1226.8543988182432,1007.4260602577536,1129.3782958984375,24850000,32.0,0.0
2006-04-01,1130.050287140629,1499.1151517812937,1125.3445453143445,1442.646240234375,25720000,0.0,0.0
2006-07-01,1446.0074935894118,1702.690956809304,1411.7227970886863,1617.0506591796875,28827000,7.0,0.0
2006-10-01,1619.0730523395196,2410.7404881572857,1616.3757211402867,2390.510498046875,48261000,0.0,0.0
2007-01-01,2420.855352899831,2612.8603977425387,2001.4201767791967,2595.693115234375,59273000,62.0,0.0
2007-04-01,2592.2600585937503,4216.285572038983,2588.8266015625,4024.011962890625,55445000,0.0,0.0
2007-07-01,3921.0080129139455,4942.456397914487,3158.7805357975744,4935.57275390625,54435000,14.0,0.0
2007-10-01,4949.823406519137,4963.108708699544,3235.3128859747026,3613.913330078125,42601000,0.0,0.0
2008-01-01,3648.331488918856,4157.431833301884,3176.732949420614,3992.880126953125,32632000,112.0,0.0
2008-04-01,3925.604903555653,4414.662231034302,3711.691162109376,3711.691162109375,2776000,0.0,0.0
2008-07-01,3701.356377659929,3859.314239858189,1627.3793449441655,2230.848876953125,23815000,66.0,0.0
2008-10-01,2255.7942417689733,2622.850392713904,1926.7974511550824,1999.210693359375,277636000,0.0,0.0
2009-01-01,1895.8653916620572,2227.1292555560203,1792.162980200843,1911.8935546875,29374000,78.0,0.0
2009-04-01,1943.1972705895687,2041.644298279397,1846.0666293390923,1851.918212890625,23608000,0.0,0.0
2009-07-01,1872.3977295211716,1889.220052872338,1600.886140242867,1700.71044921875,17655000,27.0,0.0
2009-10-01,1691.837070493345,1953.598953572752,1488.4914118391591,1870.78173828125,17429000,0.0,0.0
2010-01-01,1867.0844347897464,2487.437855925204,1773.9150728952882,2374.200927734375,20040000,66.0,0.0
2010-04-01,2374.2004964041444,2408.1715686897364,1803.486677092368,1822.3594970703125,29733000,0.0,0.0
2010-07-01,1817.8297272642217,1885.7719606954704,1530.894478360735,1570.3818359375,11456000,14.0,0.0
