Date,始値,高値,安値,終値,出来高,配当,株式分割
2005-10-01 00:00:00+09:00,851.0552368164062,914.5570506403997,830.1061848332332,851.0552368164062,6262000,0.0,0.0
2005-11-01 00:00:00+09:00,862.184463778409,882.4788589015152,757.4391986268939,864.1484375,4619000,0.0,0.0
2005-12-01 00:00:00+09:00,860.8747125923257,950.5628005201954,757.4388155660235,935.5056762695312,5720000,0.0,0.0
2006-01-01 00:00:00+09:00,935.5060831453309,1121.4289156248788,935.5060831453309,1055.3084716796875,9193000,0.0,0.0
2006-02-01 00:00:00+09:00,1063.8191249666181,1171.8376822709208,999.6626485070929,1129.9395751953125,7827000,0.0,0.0
2006-03-01 00:00:00+09:00,1129.2848986858355,1150.8886097911297,1056.6178704225729,1143.03271484375,8256000,32.0,0.0
2006-04-01 00:00:00+09:00,1176.0419889904204,1217.4002438499815,1102.664440046038,1120.67529296875,8767000,0.0,0.0
2006-05-01 00:00:00+09:00,1121.341982734416,1334.1368027774133,1116.672503924695,1271.432373046875,9388000,0.0,0.0
2006-06-01 00:00:00+09:00,1267.4297694280813,1315.4586870064086,1200.7229394581823,1288.10888671875,7690000,0.0,0.0
2006-07-01 00:00:00+09:00,1275.4350180932547,1487.5628087593923,1274.7679495691475,1431.529052734375,8642000,0.0,0.0
2006-08-01 00:00:00+09:00,1434.864181170758,1626.3128190117657,1400.8436915195684,1609.6361083984375,7767000,0.0,0.0
2006-09-01 00:00:00+09:00,1612.304868871658,1666.3374275719495,1461.5473594115858,1620.3096923828125,12360000,7.0,0.0
2006-10-01 00:00:00+09:00,1609.9420801310662,1689.5693068707158,1561.0951259126257,1604.5889892578125,8700000,0.0,0.0
2006-11-01 00:00:00+09:00,1606.5961655379203,1865.5518990086305,1603.9196204891275,1853.5074462890625,11394000,0.0,0.0
2006-12-01 00:00:00+09:00,1833.4338386807242,2074.322956171622,1779.9029236827469,2067.631591796875,14274000,0.0,0.0
2007-01-01 00:00:00+09:00,2067.6313373258995,2392.1624695599,1894.9941577045136,2372.08837890625,22593000,0.0,0.0
2007-02-01 00:00:00+09:00,2402.1989334009254,2402.1989334009254,2007.4085794436703,2101.087646484375,26321000,0.0,0.0
2007-03-01 00:00:00+09:00,2124.5081314866557,2318.55769310276,1985.9968926779195,2291.792236328125,18322000,62.0,0.0
2007-04-01 00:00:00+09:00,2333.793577163938,2592.7254193018352,2262.24662078373,2575.6904296875,14630000,0.0,0.0
2007-05-01 00:00:00+09:00,2572.2830049402573,2895.94775390625,2568.8760075827204,2895.94775390625,13477000,0.0,0.0
2007-06-01 00:00:00+09:00,2899.3549973247846,3148.0658255324333,2786.92407498434,3059.48388671875,16894000,0.0,0.0
2007-07-01 00:00:00+09:00,3090.1474159422996,4183.793855322099,3076.519422928221,3993.001953125,25074000,0.0,0.0
2007-08-01 00:00:00+09:00,3890.7916114010027,3938.4895821187033,3134.438075734608,3652.3017578125,24917000,0.0,0.0
2007-09-01 00:00:00+09:00,3652.300964765101,4149.722551384229,3400.183174286913,4061.140625,10766000,14.0,0.0
2007-10-01 00:00:00+09:00,4064.206056049512,4904.369660913529,4036.8836623953976,4897.5390625,18752000,0.0,0.0
2007-11-01 00:00:00+09:00,4911.676940944436,4924.859858194987,3985.038194124649,4590.16064453125,14613000,0.0,0.0
2007-12-01 00:00:00+09:00,4619.191883517387,4674.792884364021,4208.468160430793,4542.34765625,13123000,0.0,0.0
2008-01-01 00:00:00+09:00,4542.346451822917,4542.346451822917,3210.3801990327383,3586.06298828125,14865000,0.0,0.0
2008-02-01 00:00:00+09:00,3620.21718896576,3948.0859155136022,3152.252821098349,3640.708984375,16400000,0.0,0.0
2008-03-01 00:00:00+09:00,3647.5391095054642,3790.9816587556793,3313.112985119909,3476.774169921875,9722000,112.0,0.0
2008-04-01 00:00:00+09:00,3598.125368423991,4125.392725030385,3598.125368423991,3962.109130859375,6510000,0.0,0.0
2008-05-01 00:00:00+09:00,3895.351998276653,4292.400007119023,3892.3526512918093,4066.7412109375,734000,0.0,0.0
2008-06-01 00:00:00+09:00,3992.5229106736906,4380.642157249579,3913.2806532118057,4143.4736328125,126000,0.0,0.0
2008-07-01 00:00:00+09:00,4179.327003264698,4276.008102879379,3683.0869140625,3683.0869140625,1916000,0.0,0.0
2008-08-01 00:00:00+09:00,3672.8333694140274,3829.573993133664,3358.7247316828034,3585.429931640625,4809000,0.0,0.0
2008-09-01 00:00:00+09:00,3613.3318024035675,3759.8182268253336,3006.45947265625,3006.45947265625,10008000,66.0,0.0
2008-10-01 00:00:00+09:00,3069.415074942592,3069.415074942592,1614.8376936613372,2213.656494140625,8998000,0.0,0.0
2008-11-01 00:00:00+09:00,2238.4102085658483,2567.27616337884,1911.9487959690891,2089.182861328125,121057000,0.0,0.0
2008-12-01 00:00:00+09:00,2096.0427027715577,2547.473070746528,2038.2613519965278,2386.929931640625,147631000,0.0,0.0
2009-01-01 00:00:00+09:00,2386.92989247368,2602.6376309046345,1983.803955078125,1983.803955078125,8948000,0.0,0.0
2009-02-01 00:00:00+09:00,1881.254494780144,2007.1429534534016,1778.3512883927337,1997.9488525390625,7209000,0.0,0.0
2009-03-01 00:00:00+09:00,2014.9225844187827,2170.727268073521,1840.6590786163943,2019.166015625,9984000,78.0,0.0
2009-04-01 00:00:00+09:00,2094.926395255562,2209.965882655219,1822.4053633324318,1897.1595458984375,12181000,0.0,0.0
2009-05-01 00:00:00+09:00,1928.2227859149743,2025.9111703472634,1831.84064370824,1860.1456298828125,10273000,0.0,0.0
2009-06-01 00:00:00+09:00,1914.5056656198929,1945.7863753535514,1836.1952740188308,1938.5286865234375,7707000,0.0,0.0
2009-07-01 00:00:00+09:00,1929.0939880660362,1959.5762858458606,1833.2924807580164,1837.6470947265625,5628000,0.0,0.0
2009-08-01 00:00:00+09:00,1857.9684408389394,1874.6611260496018,1705.55696717637,1834.01806640625,5965000,0.0,0.0
2009-09-01 00:00:00+09:00,1820.2284221472485,1838.3726448560528,1618.4646656253447,1645.318115234375,6117000,27.0,0.0
2009-10-01 00:00:00+09:00,1673.6631694760529,1812.3402142068614,1588.5492160962974,1687.604248046875,5573000,0.0,0.0
2009-11-01 00:00:00+09:00,1678.7997251157408,1784.458449074074,1559.1999195240162,1584.880859375,3424000,0.0,0.0
2009-12-01 00:00:00+09:00,1562.8687849212413,1645.7815420555607,1477.0210629326098,1628.1717529296875,6684000,0.0,0.0
2010-01-01 00:00:00+09:00,1628.1717213747531,1938.5442487030634,1622.3017917798913,1856.365234375,7321000,0.0,0.0
2010-02-01 00:00:00+09:00,1852.6962816001264,1881.312184563455,1760.244902795526,1776.38720703125,5337000,0.0,0.0
2010-03-01 00:00:00+09:00,1780.7892417689732,2399.332847377232,1780.7892417689732,2311.283935546875,9245000,66.0,0.0
2010-04-01 00:00:00+09:00,2355.905029296875,2468.269339120255,2273.504535426396,2355.905029296875,5458000,0.0,0.0
2010-05-01 00:00:00+09:00,2355.9037770551377,2389.6130520845436,1895.2103516532586,2015.0655517578125,12302000,0.0,0.0
2010-06-01 00:00:00+09:00,2014.316873305696,2194.8488057960913,1790.337421792716,1955.887451171875,10532000,0.0,0.0
2010-07-01 00:00:00+09:00,1971.6185479721157,2032.2952586049962,1789.5884160734745,1808.3157958984375,6899000,0.0,0.0
