日付,始値,高値,安値,終値,出来高,配当,株式分割
1985-12-31,0.1000135528000838,0.1068817821324451,0.0497921612843224,0.0755466669797897,45492272000,0.0,0.0
1986-12-31,0.075546693050693,0.1506649314020887,0.0746882602631026,0.1390753239393234,53323222400,0.0,0.0
1987-12-31,0.1386461153054395,0.4115131629119373,0.1377869202453362,0.2898951470851898,59771308800,0.001786,2.0
1988-12-31,0.2950715774799995,0.3302329742901632,0.2464630882683636,0.2801781892776489,41292977600,0.003035,0.0
1989-12-31,0.2801780979235796,0.3532313315169034,0.2284528516327736,0.2477829754352569,50905825600,0.003661,0.0
1990-12-31,0.2477829776924961,0.3376647811290425,0.1720027879414762,0.3060142993927002,44401940800,0.004017,0.0
1991-12-31,0.3042344977874816,0.5223884750648057,0.2877806640526819,0.4049528539180755,57347651200,0.004284,0.0
1992-12-31,0.4004635347576343,0.5028240871874133,0.2992614439016151,0.4329412877559662,41137913600,0.004284,0.0
1993-12-31,0.4311298131942749,0.4727933629933031,0.1607958881171789,0.2145533412694931,56452928000,0.004284,0.0
1994-12-31,0.2163871001169751,0.3244576863558057,0.1819928299160791,0.2901005744934082,57155896000,0.004284,0.0
1995-12-31,0.28917075977058,0.3749160308367291,0.2379274252832297,0.2398081421852111,74266539200,0.004284,0.0
1996-12-31,0.2426292747086367,0.2670804572222934,0.1203742755028905,0.1570510566234588,53194220800,0.0,0.0
1997-12-31,0.1589317935679714,0.2224105794217762,0.0959230935761581,0.0987450331449508,71963360000,0.0,0.0
1998-12-31,0.1025065160649774,0.3291487332608093,0.1015661510554997,0.3079888224601745,115194195200,0.0,0.0
1999-12-31,0.3169231985427935,0.88776085382903,0.240748581386255,0.7734997868537903,137102705600,0.0,0.0
2000-12-31,0.7890166158274382,1.1313310673764805,0.2050130089585585,0.223821148276329,120301596800,0.0,2.0
2001-12-31,0.2238211764860007,0.4080693856883652,0.2172386276120156,0.3295245170593261,94657796800,0.0,0.0
2002-12-31,0.3317819185462232,0.3937743253641241,0.2010249584045416,0.2156207263469696,77013927200,0.0,0.0
2003-12-31,0.2160723358392715,0.3763203288746298,0.1913954336059451,0.3215499520301819,71230252800,0.0,0.0
2004-12-31,0.324258206966132,1.0468054255360164,0.3186910141456254,0.9690139293670654,121801668800,0.0,0.0
2005-12-31,0.9747315855495626,2.270863022216977,0.9419292236583056,2.163429021835327,182400982400,0.0,2.0
2006-12-31,2.1781752947606474,2.803519085347705,1.5094957171809529,2.5531411170959477,215698966000,0.0,0.0
2007-12-31,2.5967772237855407,6.107796468577709,2.464666092850286,5.960940361022949,246995985600,0.0,0.0
2008-12-31,5.996753318587136,6.026545867872618,2.381607327599196,2.568488121032715,285981206000,0.0,0.0
2009-12-31,2.584438653260659,6.438524494397494,2.3533195202788444,6.341623306274414,143253686800,0.0,0.0
2010-12-31,6.4228755604498815,9.830372623527673,5.725306174385902,9.706989288330078,151024927200,0.0,0.0
2011-12-31,9.799681590677334,12.8409401325369,9.344065186102798,12.187908172607422,124059339600,0.0,0.0
2012-12-31,12.320318376626211,21.30919280710516,12.308280663258737,16.157127380371094,131964204400,0.189286,0.0
2013-12-31,16.814445601394564,17.90039633561309,11.760101573638586,17.4609317779541,102421569600,0.42143,0.0
2014-12-31,17.294738501707393,26.52713059211029,15.361031267126922,24.554000854492188,63657952400,0.461429,7.0
2015-12-31,24.778670617768874,30.046497968318235,20.63196785261709,23.81401634216309,52264199600,0.5075000000000001,0.0
2016-12-31,23.214485335578622,27.309653250095625,20.351524424558765,26.786104202270508,38729911200,0.5575,0.0
2017-12-31,26.781479103916038,41.64069880138197,26.54095438843049,39.76780700683594,27243106000,0.615,0.0
2018-12-31,39.98635063872716,55.493800416921374,34.964737538020614,37.624244689941406,34156144800,0.705,0.0
2019-12-31,36.94447528473395,71.17143881303491,33.869943257181184,71.09396362304688,28254942800,0.76,0.0
2020-12-31,71.72100113953645,135.5674407831583,51.59598305037259,129.6090850830078,39863855600,0.8075,4.0
2021-12-31,130.41980257825506,178.99784335111462,113.68135866060854,174.51626586914062,22812206100,0.865,0.0
2022-12-31,174.77184387712188,179.79396736409583,124.42334853676292,128.43667602539062,22065504500,0.91,0.0
2023-12-31,128.78264914855976,198.4286489269148,122.7428727264446,191.38096618652344,14804257200,0.95,0.0
2024-12-31,186.03308758298624,259.8143505955717,163.30889800723273,250.1449737548828,14396068100,0.99,0.0
2025-12-31,248.65660658654735,249.72542823226823,169.2100067138672,210.7899932861328,5281438955,0.25,0.0
