,Open,High,Low,Close,Volume,Dividends,Stock Splits,Is_Market_Holiday
1980-12-12,0.098596647,0.099025305,0.098596647,0.098596647,469033600.0,0.0,0.0,False
1980-12-13,0.098596647,0.099025305,0.098596647,0.098596647,469033600.0,0.0,0.0,False
1980-12-14,0.098596647,0.099025305,0.098596647,0.098596647,469033600.0,0.0,0.0,False
1980-12-15,0.093881431,0.093881431,0.093452774,0.093452774,175884800.0,0.0,0.0,False
1980-12-16,0.08702219,0.08702219,0.086593539,0.086593539,105728000.0,0.0,0.0,False
1980-12-17,0.088736802,0.089165459,0.088736802,0.088736802,86441600.0,0.0,0.0,False
1980-12-18,0.09130951,0.091738162,0.09130951,0.09130951,73449600.0,0.0,0.0,False
1980-12-19,0.096882038,0.097310695,0.096882038,0.096882038,48630400.0,0.0,0.0,False
1980-12-20,0.096882038,0.097310695,0.096882038,0.096882038,48630400.0,0.0,0.0,False
1980-12-21,0.096882038,0.097310695,0.096882038,0.096882038,48630400.0,0.0,0.0,False
1980-12-22,0.10159722,0.102026644,0.10159722,0.10159722,37363200.0,0.0,0.0,False
1980-12-23,0.105884507,0.106313164,0.105884507,0.105884507,46950400.0,0.0,0.0,False
1980-12-24,0.111457035,0.111885692,0.111457035,0.111457035,48003200.0,0.0,0.0,False
1980-12-25,0.111457035,0.111885692,0.111457035,0.111457035,48003200.0,0.0,0.0,False
1980-12-26,0.121745467,0.122174124,0.121745467,0.121745467,55574400.0,0.0,0.0,False
1980-12-27,0.121745467,0.122174124,0.121745467,0.121745467,55574400.0,0.0,0.0,False
1980-12-28,0.121745467,0.122174124,0.121745467,0.121745467,55574400.0,0.0,0.0,False
1980-12-29,0.123460062,0.123888719,0.123460062,0.123460062,93161600.0,0.0,0.0,False
1980-12-30,0.120888225,0.120888225,0.120459579,0.120459579,68880000.0,0.0,0.0,False
1980-12-31,0.11745895,0.11745895,0.117030293,0.117030293,35750400.0,0.0,0.0,False
1981-01-01,0.11745895,0.11745895,0.117030293,0.117030293,35750400.0,0.0,0.0,False
1981-01-02,0.1183163,0.119173615,0.1183163,0.1183163,21660800.0,0.0,0.0,False
1981-01-03,0.1183163,0.119173615,0.1183163,0.1183163,21660800.0,0.0,0.0,False
1981-01-04,0.1183163,0.119173615,0.1183163,0.1183163,21660800.0,0.0,0.0,False
1981-01-05,0.116172991,0.116172991,0.115744345,0.115744345,35728000.0,0.0,0.0,False
1981-01-06,0.111028339,0.111028339,0.110599682,0.110599682,45158400.0,0.0,0.0,False
1981-01-07,0.106313164,0.106313164,0.105884507,0.105884507,55686400.0,0.0,0.0,False
1981-01-08,0.104169927,0.104169927,0.103741281,0.103741281,39827200.0,0.0,0.0,False
1981-01-09,0.109313771,0.109742428,0.109313771,0.109313771,21504000.0,0.0,0.0,False
1981-01-10,0.109313771,0.109742428,0.109313771,0.109313771,21504000.0,0.0,0.0,False
1981-01-11,0.109313771,0.109742428,0.109313771,0.109313771,21504000.0,0.0,0.0,False
1981-01-12,0.109313781,0.109313781,0.108456478,0.108456478,23699200.0,0.0,0.0,False
1981-01-13,0.105027217,0.105027217,0.104598559,0.104598559,23049600.0,0.0,0.0,False
1981-01-14,0.105027221,0.105455878,0.105027221,0.105027221,14291200.0,0.0,0.0,False
1981-01-15,0.10717044,0.108027743,0.10717044,0.10717044,14067200.0,0.0,0.0,False
1981-01-16,0.106741804,0.106741804,0.106313147,0.106313147,13395200.0,0.0,0.0,False
1981-01-17,0.106741804,0.106741804,0.106313147,0.106313147,13395200.0,0.0,0.0,False
1981-01-18,0.106741804,0.106741804,0.106313147,0.106313147,13395200.0,0.0,0.0,False
1981-01-19,0.112742975,0.113171632,0.112742975,0.112742975,41574400.0,0.0,0.0,False
1981-01-20,0.109742428,0.109742428,0.109313771,0.109313771,30083200.0,0.0,0.0,False
1981-01-21,0.111457035,0.112314338,0.111457035,0.111457035,15904000.0,0.0,0.0,False
1981-01-22,0.112742975,0.11360029,0.112742975,0.112742975,35548800.0,0.0,0.0,False
1981-01-23,0.112742956,0.113171613,0.112314299,0.112314299,11222400.0,0.0,0.0,False
1981-01-24,0.112742956,0.113171613,0.112314299,0.112314299,11222400.0,0.0,0.0,False
1981-01-25,0.112742956,0.113171613,0.112314299,0.112314299,11222400.0,0.0,0.0,False
1981-01-26,0.111028339,0.111028339,0.110599682,0.110599682,24640000.0,0.0,0.0,False
1981-01-27,0.110599706,0.110599706,0.109742403,0.109742403,23699200.0,0.0,0.0,False
1981-01-28,0.106741804,0.106741804,0.106313147,0.106313147,28156800.0,0.0,0.0,False
1981-01-29,0.10288393,0.10288393,0.102455273,0.102455273,43904000.0,0.0,0.0,False
1981-01-30,0.097739352,0.097739352,0.096882038,0.096882038,46188800.0,0.0,0.0,False
1981-01-31,0.097739352,0.097739352,0.096882038,0.096882038,46188800.0,0.0,0.0,False
1981-02-01,0.097739352,0.097739352,0.096882038,0.096882038,46188800.0,0.0,0.0,False
1981-02-02,0.091738162,0.091738162,0.09130951,0.09130951,23766400.0,0.0,0.0,False
1981-02-03,0.094738767,0.095167418,0.094738767,0.094738767,19152000.0,0.0,0.0,False
1981-02-04,0.098167978,0.098596624,0.098167978,0.098167978,27865600.0,0.0,0.0,False
1981-02-05,0.098167978,0.099025281,0.098167978,0.098167978,7929600.0,0.0,0.0,False
1981-02-06,0.098596647,0.099025305,0.098596647,0.098596647,13865600.0,0.0,0.0,False
1981-02-07,0.098596647,0.099025305,0.098596647,0.098596647,13865600.0,0.0,0.0,False
1981-02-08,0.098596647,0.099025305,0.098596647,0.098596647,13865600.0,0.0,0.0,False
1981-02-09,0.094310083,0.094310083,0.093452774,0.093452774,16755200.0,0.0,0.0,False
1981-02-10,0.093452774,0.093881431,0.093452774,0.093452774,18345600.0,0.0,0.0,False
1981-02-11,0.090880831,0.090880831,0.090452179,0.090452179,13843200.0,0.0,0.0,False
1981-02-12,0.090023557,0.090023557,0.089594133,0.089594133,14560000.0,0.0,0.0,False
1981-02-13,0.088308156,0.088308156,0.087450847,0.087450847,11155200.0,0.0,0.0,False
1981-02-14,0.088308156,0.088308156,0.087450847,0.087450847,11155200.0,0.0,0.0,False
1981-02-15,0.088308156,0.088308156,0.087450847,0.087450847,11155200.0,0.0,0.0,False
1981-02-16,0.088308156,0.088308156,0.087450847,0.087450847,11155200.0,0.0,0.0,False
1981-02-17,0.089594133,0.090023557,0.089594133,0.089594133,12275200.0,0.0,0.0,False
1981-02-18,0.093452774,0.094310083,0.093452774,0.093452774,19241600.0,0.0,0.0,False
1981-02-19,0.088308181,0.088308181,0.087879524,0.087879524,22310400.0,0.0,0.0,False
1981-02-20,0.083592992,0.083592992,0.083164334,0.083164334,24371200.0,0.0,0.0,False
1981-02-21,0.083592992,0.083592992,0.083164334,0.083164334,24371200.0,0.0,0.0,False
1981-02-22,0.083592992,0.083592992,0.083164334,0.083164334,24371200.0,0.0,0.0,False
1981-02-23,0.084450223,0.08487888,0.084450223,0.084450223,14112000.0,0.0,0.0,False
1981-02-24,0.082306996,0.082306996,0.081449687,0.081449687,16979200.0,0.0,0.0,False
1981-02-25,0.086593539,0.08702219,0.086593539,0.086593539,19488000.0,0.0,0.0,False
1981-02-26,0.087879524,0.088308181,0.087879524,0.087879524,10841600.0,0.0,0.0,False
1981-02-27,0.090880863,0.091738172,0.090880863,0.090880863,14761600.0,0.0,0.0,False
1981-02-28,0.090880863,0.091738172,0.090880863,0.090880863,14761600.0,0.0,0.0,False
1981-03-01,0.090880863,0.091738172,0.090880863,0.090880863,14761600.0,0.0,0.0,False
1981-03-02,0.09130951,0.091738162,0.09130951,0.09130951,11760000.0,0.0,0.0,False
1981-03-03,0.090452235,0.090452235,0.090023577,0.090023577,16172800.0,0.0,0.0,False
1981-03-04,0.089594123,0.089594123,0.089165471,0.089165471,13708800.0,0.0,0.0,False
1981-03-05,0.089165459,0.089165459,0.088736802,0.088736802,5376000.0,0.0,0.0,False
1981-03-06,0.088736832,0.088736832,0.087879524,0.087879524,11603200.0,0.0,0.0,False
1981-03-07,0.088736832,0.088736832,0.087879524,0.087879524,11603200.0,0.0,0.0,False
1981-03-08,0.088736832,0.088736832,0.087879524,0.087879524,11603200.0,0.0,0.0,False
1981-03-09,0.0814497,0.0814497,0.081021048,0.081021048,15321600.0,0.0,0.0,False
1981-03-10,0.077591051,0.077591051,0.0771624,0.0771624,28380800.0,0.0,0.0,False
1981-03-11,0.075019091,0.075019091,0.074161783,0.074161783,29859200.0,0.0,0.0,False
1981-03-12,0.0771624,0.077591051,0.0771624,0.0771624,59248000.0,0.0,0.0,False
1981-03-13,0.07673372,0.07673372,0.076305069,0.076305069,231302400.0,0.0,0.0,False
1981-03-14,0.07673372,0.07673372,0.076305069,0.076305069,231302400.0,0.0,0.0,False
1981-03-15,0.07673372,0.07673372,0.076305069,0.076305069,231302400.0,0.0,0.0,False
1981-03-16,0.079306416,0.080163725,0.079306416,0.079306416,37228800.0,0.0,0.0,False
1981-03-17,0.083164334,0.084021643,0.083164334,0.083164334,43747200.0,0.0,0.0,False
1981-03-18,0.088308185,0.089165494,0.088308185,0.088308185,36937600.0,0.0,0.0,False
1981-03-19,0.087879498,0.087879498,0.087450847,0.087450847,37811200.0,0.0,0.0,False
1981-03-20,0.088308185,0.089165494,0.088308185,0.088308185,14604800.0,0.0,0.0,False
1981-03-21,0.088308185,0.089165494,0.088308185,0.088308185,14604800.0,0.0,0.0,False
1981-03-22,0.088308185,0.089165494,0.088308185,0.088308185,14604800.0,0.0,0.0,False
1981-03-23,0.091738142,0.092595451,0.091738142,0.091738142,22019200.0,0.0,0.0,False
1981-03-24,0.091738162,0.091738162,0.09130951,0.09130951,28156800.0,0.0,0.0,False
1981-03-25,0.090452215,0.090452215,0.089594133,0.089594133,7056000.0,0.0,0.0,False
1981-03-26,0.088308181,0.088308181,0.087879524,0.087879524,12275200.0,0.0,0.0,False
1981-03-27,0.085307565,0.085307565,0.084878914,0.084878914,12252800.0,0.0,0.0,False
1981-03-28,0.085307565,0.085307565,0.084878914,0.084878914,12252800.0,0.0,0.0,False
1981-03-29,0.085307565,0.085307565,0.084878914,0.084878914,12252800.0,0.0,0.0,False
1981-03-30,0.084878914,0.085736223,0.084878914,0.084878914,9900800.0,0.0,0.0,False
1981-03-31,0.084878922,0.084878922,0.084021613,0.084021613,15993600.0,0.0,0.0,False
1981-04-01,0.083592992,0.083592992,0.083164334,0.083164334,34070400.0,0.0,0.0,False
1981-04-02,0.090452179,0.090880831,0.090452179,0.090452179,31404800.0,0.0,0.0,False
1981-04-03,0.090880863,0.091309521,0.090880863,0.090880863,16486400.0,0.0,0.0,False
1981-04-04,0.090880863,0.091309521,0.090880863,0.090880863,16486400.0,0.0,0.0,False
1981-04-05,0.090880863,0.091309521,0.090880863,0.090880863,16486400.0,0.0,0.0,False
1981-04-06,0.089594123,0.089594123,0.089165471,0.089165471,22803200.0,0.0,0.0,False
1981-04-07,0.088736837,0.088736837,0.088308185,0.088308185,10684800.0,0.0,0.0,False
1981-04-08,0.09259548,0.093452789,0.09259548,0.09259548,21952000.0,0.0,0.0,False
1981-04-09,0.094310097,0.094738755,0.094310097,0.094310097,12499200.0,0.0,0.0,False
1981-04-10,0.095596045,0.096024697,0.095596045,0.095596045,33465600.0,0.0,0.0,False
1981-04-11,0.095596045,0.096024697,0.095596045,0.095596045,33465600.0,0.0,0.0,False
1981-04-12,0.095596045,0.096024697,0.095596045,0.095596045,33465600.0,0.0,0.0,False
1981-04-13,0.095596045,0.096024697,0.095596045,0.095596045,16060800.0,0.0,0.0,False
1981-04-14,0.095596045,0.096024697,0.095596045,0.095596045,6652800.0,0.0,0.0,False
1981-04-15,0.091309521,0.091309521,0.090880863,0.090880863,34048000.0,0.0,0.0,False
1981-04-16,0.086164859,0.086164859,0.085736208,0.085736208,23878400.0,0.0,0.0,False
1981-04-17,0.086164859,0.086164859,0.085736208,0.085736208,23878400.0,0.0,0.0,False
1981-04-18,0.086164859,0.086164859,0.085736208,0.085736208,23878400.0,0.0,0.0,False
1981-04-19,0.086164859,0.086164859,0.085736208,0.085736208,23878400.0,0.0,0.0,False
1981-04-20,0.088308185,0.088736837,0.088308185,0.088308185,35347200.0,0.0,0.0,False
1981-04-21,0.094310097,0.094738755,0.094310097,0.094310097,28537600.0,0.0,0.0,False
