,Open,High,Low,Close,Volume,Dividends,Stock Splits,Is_Market_Holiday
2001-01-04,1129.931792,1164.246424,1115.225522,1161.182617,106000.0,0.0,0.0,False
2001-01-05,1151.99138,1178.952881,1143.412721,1178.952881,131000.0,0.0,0.0,False
2001-01-06,1151.99138,1178.952881,1143.412721,1178.952881,131000.0,0.0,0.0,False
2001-01-07,1151.99138,1178.952881,1143.412721,1178.952881,131000.0,0.0,0.0,False
2001-01-08,1178.952881,1178.952881,1178.952881,1178.952881,0.0,0.0,0.0,False
2001-01-09,1155.055489,1163.63415,1122.579127,1139.73645,39000.0,0.0,0.0,False
2001-01-10,1140.961962,1140.961962,1102.970748,1132.383301,17000.0,0.0,0.0,False
2001-01-11,1121.353429,1124.417236,1101.745063,1124.417236,66000.0,0.0,0.0,False
2001-01-12,1133.608457,1161.182717,1131.157412,1148.92749,66000.0,0.0,0.0,False
2001-01-13,1133.608457,1161.182717,1131.157412,1148.92749,66000.0,0.0,0.0,False
2001-01-14,1133.608457,1161.182717,1131.157412,1148.92749,66000.0,0.0,0.0,False
2001-01-15,1158.11916,1170.37439,1151.991546,1170.37439,80000.0,0.0,0.0,False
2001-01-16,1170.374417,1176.502032,1163.02128,1168.536133,89000.0,0.0,0.0,False
2001-01-17,1127.481135,1127.481135,1099.906868,1104.80896,121000.0,0.0,0.0,False
2001-01-18,1126.255462,1128.706507,1115.225756,1125.6427,99000.0,0.0,0.0,False
2001-01-19,1130.544772,1130.544772,1090.715282,1096.842896,70000.0,0.0,0.0,False
2001-01-20,1130.544772,1130.544772,1090.715282,1096.842896,70000.0,0.0,0.0,False
2001-01-21,1130.544772,1130.544772,1090.715282,1096.842896,70000.0,0.0,0.0,False
2001-01-22,1092.553563,1092.553563,1039.856084,1077.84729,113000.0,0.0,0.0,False
2001-01-23,1077.847294,1121.353354,1072.945203,1115.838501,50000.0,0.0,0.0,False
2001-01-24,1140.348932,1142.799977,1133.608556,1136.672363,104000.0,0.0,0.0,False
2001-01-25,1131.770536,1131.770536,1109.098359,1129.932251,40000.0,0.0,0.0,False
2001-01-26,1121.353322,1121.353322,1099.293912,1115.225708,16000.0,0.0,0.0,False
2001-01-27,1121.353322,1121.353322,1099.293912,1115.225708,16000.0,0.0,0.0,False
2001-01-28,1121.353322,1121.353322,1099.293912,1115.225708,16000.0,0.0,0.0,False
2001-01-29,1133.608457,1148.92749,1131.770173,1148.92749,76000.0,0.0,0.0,False
2001-01-30,1158.732086,1170.374555,1130.545055,1137.898193,96000.0,0.0,0.0,False
2001-01-31,1142.186936,1155.667683,1127.480666,1150.152832,97000.0,0.0,0.0,False
2001-02-01,1140.348992,1155.055266,1140.348992,1154.442505,29000.0,0.0,0.0,False
2001-02-02,1153.216692,1153.216692,1145.863557,1146.476318,13000.0,0.0,0.0,False
2001-02-03,1153.216692,1153.216692,1145.863557,1146.476318,13000.0,0.0,0.0,False
2001-02-04,1153.216692,1153.216692,1145.863557,1146.476318,13000.0,0.0,0.0,False
2001-02-05,1152.60387,1170.373945,1147.089019,1161.795288,110000.0,0.0,0.0,False
2001-02-06,1140.348773,1141.574295,1118.289366,1133.608398,67000.0,0.0,0.0,False
2001-02-07,1147.702148,1153.829763,1145.251103,1147.702148,20000.0,0.0,0.0,False
2001-02-08,1164.859489,1166.085012,1155.055306,1159.957397,81000.0,0.0,0.0,False
2001-02-09,1158.118815,1170.374041,1152.603964,1163.633667,28000.0,0.0,0.0,False
2001-02-10,1158.118815,1170.374041,1152.603964,1163.633667,28000.0,0.0,0.0,False
2001-02-11,1158.118815,1170.374041,1152.603964,1163.633667,28000.0,0.0,0.0,False
2001-02-12,1163.633667,1163.633667,1163.633667,1163.633667,0.0,0.0,0.0,False
2001-02-13,1161.795545,1175.276295,1159.3445,1169.148682,38000.0,0.0,0.0,False
2001-02-14,1144.638014,1181.403689,1144.638014,1167.310181,55000.0,0.0,0.0,False
2001-02-15,1179.565737,1197.94858,1179.565737,1180.79126,79000.0,0.0,0.0,False
2001-02-16,1190.595371,1224.297247,1189.369848,1210.203735,156000.0,0.0,0.0,False
2001-02-17,1190.595371,1224.297247,1189.369848,1210.203735,156000.0,0.0,0.0,False
2001-02-18,1190.595371,1224.297247,1189.369848,1210.203735,156000.0,0.0,0.0,False
2001-02-19,1188.144361,1213.267578,1188.144361,1213.267578,60000.0,0.0,0.0,False
2001-02-20,1210.203728,1210.81649,1183.854989,1188.75708,107000.0,0.0,0.0,False
2001-02-21,1179.565812,1179.565812,1163.634014,1170.37439,116000.0,0.0,0.0,False
2001-02-22,1162.40838,1167.923233,1155.668005,1158.731812,33000.0,0.0,0.0,False
2001-02-23,1153.829936,1166.085166,1152.604413,1160.570313,133000.0,0.0,0.0,False
2001-02-24,1153.829936,1166.085166,1152.604413,1160.570313,133000.0,0.0,0.0,False
2001-02-25,1153.829936,1166.085166,1152.604413,1160.570313,133000.0,0.0,0.0,False
2001-02-26,1161.795495,1194.271846,1147.089223,1191.820801,85000.0,0.0,0.0,False
